PassengerId,Survived
892,0.127
893,0.5825
894,0.2196
895,0.1626
896,0.6666
897,0.1461
898,0.7458
899,0.0727
900,0.9069
901,0.0605
902,0.1118
903,0.1172
904,0.9606
905,0.1036
906,0.9509
907,0.94
908,0.127
909,0.1973
910,0.4639
911,0.8661
912,0.0995
913,0.6572
914,0.94
915,0.1546
916,0.9673
917,0.0469
918,0.9405
919,0.1973
920,0.424
921,0.0719
922,0.0569
923,0.081
924,0.6874
925,0.4723
926,0.5157
927,0.1161
928,0.4818
929,0.49
930,0.1324
931,0.2829
932,0.0677
933,0.3995
934,0.1273
935,0.9358
936,0.9558
937,0.1843
938,0.3547
939,0.2203
940,0.9626
941,0.6851
942,0.3922
943,0.0952
944,0.8205
945,0.8506
946,0.101
947,0.0767
948,0.0961
949,0.1587
950,0.0631
951,0.9683
952,0.1213
953,0.1024
954,0.1132
955,0.8126
956,0.9068
957,0.8984
958,0.7607
959,0.1307
960,0.3134
961,0.8972
962,0.6998
963,0.1118
964,0.6602
965,0.4627
966,0.9658
967,0.5443
968,0.1111
969,0.9397
970,0.1269
971,0.6998
972,0.6934
973,0.2885
974,0.1172
975,0.1118
976,0.1476
977,0.0582
978,0.7307
979,0.6705
980,0.8113
981,0.8617
982,0.6189
983,0.2607
984,0.9559
985,0.1111
986,0.1284
987,0.2813
988,0.9482
989,0.1843
990,0.6386
991,0.0952
992,0.9629
993,0.0686
994,0.2203
995,0.2607
996,0.7588
997,0.087
998,0.1625
999,0.2203
1000,0.1327
1001,0.4256
1002,0.0886
1003,0.7201
1004,0.9204
1005,0.8277
1006,0.9528
1007,0.063
1008,0.0829
1009,0.636
1010,0.5719
1011,0.9168
1012,0.8848
1013,0.1807
1014,0.9716
1015,0.1594
1016,0.2203
1017,0.526
1018,0.2813
1019,0.637
1020,0.1571
1021,0.1111
1022,0.0952
1023,0.3091
1024,0.4616
1025,0.0732
1026,0.1074
1027,0.1386
1028,0.1973
1029,0.1082
1030,0.4818
1031,0.0335
1032,0.0805
1033,0.9327
1034,0.3708
1035,0.1027
1036,0.1399
1037,0.0559
1038,0.3924
1039,0.1111
1040,0.1443
1041,0.1672
1042,0.9697
1043,0.1532
1044,0.1217
1045,0.6657
1046,0.0701
1047,0.1596
1048,0.9566
1049,0.6386
1050,0.3841
1051,0.6189
1052,0.8126
1053,0.6934
1054,0.7881
1055,0.0759
1056,0.1814
1057,0.6107
1058,0.2756
1059,0.0779
1060,0.9369
1061,0.4749
1062,0.1596
1063,0.1973
1064,0.0687
1065,0.1975
1066,0.0332
1067,0.8857
1068,0.8848
1069,0.2499
1070,0.9563
1071,0.9583
1072,0.1269
1073,0.4393
1074,0.9557
1075,0.2203
1076,0.9713
1077,0.1041
1078,0.7359
1079,0.1878
1080,0.0857
1081,0.1571
1082,0.0635
1083,0.1263
1084,0.7018
1085,0.2234
1086,0.8719
1087,0.1254
1088,0.9085
1089,0.6336
1090,0.1262
1091,0.7595
1092,0.6244
1093,0.6927
1094,0.4269
1095,0.8837
1096,0.1262
1097,0.1254
1098,0.6034
1099,0.1262
1100,0.912
1101,0.1118
1102,0.0839
1103,0.077
1104,0.1936
1105,0.9278
1106,0.4371
1107,0.2671
1108,0.7307
1109,0.0964
1110,0.9634
1111,0.1111
1112,0.8324
1113,0.1111
1114,0.9388
1115,0.2813
1116,0.9027
1117,0.5357
1118,0.2813
1119,0.6998
1120,0.0675
1121,0.1269
1122,0.1931
1123,0.81
1124,0.068
1125,0.1515
1126,0.4306
1127,0.1386
1128,0.4097
1129,0.1973
1130,0.8858
1131,0.963
1132,0.8992
1133,0.9296
1134,0.3121
1135,0.1122
1136,0.3354
1137,0.2059
1138,0.8139
1139,0.0788
1140,0.9168
1141,0.5114
1142,0.883
1143,0.1843
1144,0.4015
1145,0.1312
1146,0.0966
1147,0.1596
1148,0.2203
1149,0.1111
1150,0.8979
1151,0.2607
1152,0.0559
1153,0.1386
1154,0.9072
1155,0.6675
1156,0.1196
1157,0.1118
1158,0.0866
1159,0.1596
1160,0.4818
1161,0.1509
1162,0.4373
1163,0.2203
1164,0.9706
1165,0.5831
1166,0.1973
1167,0.8192
1168,0.1262
1169,0.0653
1170,0.0603
1171,0.1262
1172,0.49
1173,0.7722
1174,0.6998
1175,0.4059
1176,0.5272
1177,0.0826
1178,0.1594
1179,0.3207
1180,0.2073
1181,0.1111
1182,0.1721
1183,0.612
1184,0.1975
1185,0.4242
1186,0.0966
1187,0.1118
1188,0.8983
1189,0.0719
1190,0.1471
1191,0.1386
1192,0.1051
1193,0.3208
1194,0.0621
1195,0.1626
1196,0.6998
1197,0.9343
1198,0.351
1199,0.7816
1200,0.1905
1201,0.5616
1202,0.1509
1203,0.1973
1204,0.1596
1205,0.6034
1206,0.961
1207,0.8237
1208,0.2084
1209,0.2291
1210,0.1386
1211,0.081
1212,0.2607
1213,0.2073
1214,0.3633
1215,0.141
1216,0.9421
1217,0.077
1218,0.9054
1219,0.1477
1220,0.0686
1221,0.1082
1222,0.9246
1223,0.3851
1224,0.1973
1225,0.7115
1226,0.1118
1227,0.3197
1228,0.1269
1229,0.0734
1230,0.1332
1231,0.8094
