	title	label
0	기업은행 중기 근로자소상공인 자녀에 장학금 전달	0
1	라인업은 화려한데안 풀리는 기업은행	0
2	IBK기업은행 앱 설치하면 포스기 쉽게 사용소상공인 카드결제기 비용 줄여	0
3	기업은행 글로벌 중소기업금융 콘퍼런스 개최	0
4	IBK기업은행 中企용 IBK CEO 금융비서 기대해달라	0
5	윤종원 기업은행 대출 여력 충분 중도상환 수수료 일시적 면제도 검토	0
6	기업은행 中企 장애인 채용 지원 위한 업무협약	0
7	기업은행 알토스배구단 10주년 기념 패키지상품 출시	0
8	후후앤컴퍼니 IBK기업은행과 보이스피싱 탐지 데이터 공유	0
9	대구시 기업은행 본점 유치 집중 中企 원스톱 지원	0
10	스포츠 단신약체 꼽힌 흥국생명 기업은행 31 제압	0
11	기업은행 네이버와 소상공인 대출상품 개발	0
12	중기 info IBK기업은행 벤처中企 모험자본 조성 도와혁신금융 실천에 앞장	0
13	IBK기업은행 네이버와 제휴 소상공인 온라인 진출 활성화	0
14	Biz & Now 기업은행 테니스 유망주 지원 협약	0
15	IBK기업은행대한체육회 테니스 유망주 10억 후원	0
16	기업은행 기업카드 발급계좌 개설 100% 비대면서비스	0
17	기업은행 등 마이데이터 본허가	0
18	기업은행사우디 中企은행 맞손 은행 설립주요업무 노하우 전수	0
19	중기 대출잔액 200조원 기업은행 업계 첫 돌파	0
20	손잡은 기업은행펄어비스게임금융플랫폼 상생협약 체결	0
21	IBK기업은행 빅데이터 심사로 성장유망기업 1조 대출	0
22	기업은행 푸드트럭에 디자인 선물	0
23	기업은행 하반기 신입행원 100명 공채	0
24	IBK기업은행 개인형IRP 이벤트요건 충족하면 커피쿠폰 제공	0
25	신세계TV쇼핑IBK기업은행 동반성장펀드 조성	0
26	IBK기업은행 코로나19 의료진에 IBK희망냉장고 전달	0
27	중기 info IBK기업은행 개인고객 특판상품 확 늘린 기업銀 우대금리 챙기세요	0
28	기업은행 환경에너지경영 국제표준인증 동시 획득	0
29	기업은행 2조 특판예금 쏜다	0
30	中企 지원이 기업은행 존재 이유	0
31	기업은행 60주년윤종원 도전변화 속 中企 지원 소명	0
32	이코노 브리핑 기업은행 뱅킹 앱서 주식거래 가능 외	0
33	김기문 中企 버팀목 되어준 기업은행에 감사	0
34	김기문 중기중앙회장 IBK기업은행 창립 60주년 축하 방문	0
35	기업은행도 상반기 사상 최대 당기순익	0
36	기업은행 상반기 순이익 1조 넘었다	0
37	기업은행 IBK SPOTV NOW 적금 완판 기념 판매 연장	0
38	기업은행 BOX POS 가입 1만명 돌파	0
39	기업은행 푸드트럭 디자인 제공	0
40	IBK기업은행 행장 직속 직원권익보호관 도입이현주 박사 영입	0
41	기업은행 국내 은행 최초 직원권익보호관 신설외부임명	0
42	경제계 인사 IBK기업은행	0
43	이코노 브리핑 IBK기업은행 착한 임대인 운동 연장 외	0
44	인사IBK기업은행	0
45	기업은행 하반기 인사박청준문창환 신임 부행장 선임	0
46	인사 IBK기업은행 ; 국토교통부 ; 여성가족부 등	0
47	기업은행 여성지점장 24명 선임 역대 최대	0
48	디스커버리펀드 부실판매기업은행 등 4곳 압수수색	0
49	IBK기업은행 무직타이거 카드 출시소셜커머스 20% 할인	0
50	감사원 예탁결제원기업은행도 책임 있다	0
51	IBK기업은행 총 1조5000억원 코로나19 극복 中企지원 시행	0
52	기업은행 청년창업 지원 업무협약	0
53	기업은행 국내 최초 개인기업카드 합친 CEO카드 출시	0
54	기업은행 방문예약서비스 구축 지연연내 시행	0
55	기업은행 성실상환자 카드 출시 두달 만에 5000좌	0
56	KB금융기업은행 결국 고배 노조추천이사제 무산되나	0
57	인사IBK기업은행	0
58	기업은행 하반기 인사박청준문창환 신임 부행장 선임	0
59	인사 IBK기업은행 ; 국토교통부 ; 여성가족부 등	0
60	기업은행 여성지점장 24명 선임 역대 최대	0
61	기업은행 직원권익보호관 신설 이현주 전 인성컨설팅 이사 임용	0
62	디스커버리펀드 부실판매기업은행 등 4곳 압수수색	0
63	IBK기업은행 무직타이거 카드 출시소셜커머스 20% 할인	0
64	감사원 예탁결제원기업은행도 책임 있다	0
65	IBK기업은행 총 1조5000억원 코로나19 극복 中企지원 시행	0
66	IBK기업은행 총 1조5000억원 코로나19 극복 中企지원 시행	0
67	기업은행 청년창업 지원 업무협약	0
68	기업은행 국내 최초 개인기업카드 합친 CEO카드 출시	0
69	기업은행 방문예약서비스 구축 지연연내 시행	0
70	기업은행 성실상환자 카드 출시 두달 만에 5000좌	0
71	KB금융기업은행 결국 고배 노조추천이사제 무산되나	0
72	동산 담보대출 절반은 기업은행이스마트한 담보 관리가 해결열쇠	0
73	IBK기업은행배 여자바둑 마스터즈 개최	0
74	기업은행 한국기원과 여자바둑 마스터즈 개최	0
75	여자바둑 개인전 최다 상금IBK기업은행盃 출범	0
76	기업은행 IBK창공 온오프라인 데모데이 개최	0
77	기업은행 디스커버리 펀드 최대 80% 배상할 듯	0
78	금감원 기업은행 디스커버리 펀드 투자자에 6064% 배상 결정	0
79	IBK기업은행 SPOTV 보고 금리 우대받고 최고 年 50% 적금	0
80	기업은행 4월까지 모험자본 공급 1800억전년비 127%↑	0
81	기업은행 4월까지 모험자본 1800억 공급전년 대비 127%↑	0
82	경제계 단신IBK기업은행 ESG 실천 고객 1만명 우대금리 外	0
83	기업은행 올해 모험자본 공급 127% 증가	0
84	경제계 단신IBK기업은행 ESG 실천 고객 1만명 우대금리 外	0
85	기업은행 디스커버리 펀드 손실 4080% 배상	0
86	중기중앙회기업은행 소상공인 비대면 금융지원 협약우대금리 대출	0
87	기업은행 첫 SAFE 투자는 공기 필터 회사	0
88	기업은행 직원권익보호관 공개모집	0
89	中企보다 가계대출 증가율 더 높인 기업은행1분기 실적 껑충	0
90	기업은행 조건부지분인수계약 환기제품 개발 씨에이랩 첫 투자 마이머니	0
91	기업은행 SAFE 첫 투자 대상에 공기 질 개선 전문기업 씨에이랩	0
92	IBK기업은행 가족 뭉치니 아이도 부모도 우대금리	0
93	IBK기업은행 상반기 신입행원 100명 공채 스타트	0
94	산단공기업은행 산업단지 입주 중소기업 지원 업무협약	0
95	기업은행 노조 추천 이사제 결국 불발	0
96	중기 info IBK기업은행 美실리콘밸리식 대출로 스타트업 혁신 동행	0
97	뉴딜펀드 은행서도 완판 행렬기업은행도 소진될 듯	0
98	단신현대건설기계기업은행 협력사 스마트공장 구축 MOU 外	0
