	title	label
0	셀트리온 자가진단키트로 美 공략 속도	0
1	유가증권시장 공시 GS건설  셀트리온  현대모비스 등	0
2	연기금도 손절한 셀트리온 결국 시총 톱10 밖으로	0
3	대기업 계열사간 채무보증 1조↑ 셀트리온 등 4곳 신규지정 영향	0
4	셀트리온 진단키트 美 FDA 긴급승인	0
5	셀트리온 코로나 자가진단 키트 美FDA 긴급사용승인	0
6	셀트리온그룹주 잔인한 10월이달 시총 10조 증발	0
7	셀트리온 코로나19 항원 홈 테스트도 美시장 공략 날개 달다	0
8	올해 주가 39% 떨어진 셀트리온 개미들 뿔났다	0
9	셀트리온 지주회사 통합 삐걱스킨큐어 소액주주 반대	0
10	셀트리온 상장계열사 3곳 합병 문제없다	0
11	셀트리온 아바스틴 바이오시밀러 유럽 진출 초읽기	0
12	돌아선 셀트리온 투자자주식 팔 것	0
13	셀트리온 램시마 오리지널과 효능 유사	0
14	셀트리온 항암제 아바스틴 바이오시밀러 유럽 허가 신청	0
15	셀트리온 목표가 줄하향개미들 비명	0
16	셀트리온 코로나치료제 렉키로나 글로벌시장 진출 초읽기	0
17	렉키로나 해외승인 절실한 셀트리온반전 모멘텀 보여줄까	0
18	셀트리온 렉키로나 유럽에 정식허가 신청글로벌 진출 시동	0
19	셀트리온 결장직장암 치료제 유럽 허가신청 완료	0
20	중국시장 다시 공략 나선 한미약품셀트리온	0
21	외국인은 LG화학셀트리온 기관은 카카오 줍줍	0
22	실적부진에 주가하락 셀트리온 주주 뿔났다	0
23	셀트리온 항암제 아바스틴 바이오시밀러 한미 동반 허가 신청	0
24	버티는 게 승자셀트리온POSCO카뱅 시총 톱10 경쟁	0
25	셀트리온 삼형제 시총 하루새 6조7000억	0
26	머크서 먹는 코로나약 나온다셀트리온 3형제 시총 67조 증발	0
27	공매도 또 바이오株 습격맥 못추는 삼바셀트리온	0
28	셀트리온 특혜 의혹대기업인데 중견 분류 86억 더 줬다	0
29	셀트리온 美국방부에 코로나 신속진단키트 공급	0
30	셀트리온 펜타곤 잭팟 7000억원 코로나 진단키트 공급	0
31	겹호재 셀트리온 3형제 모처럼 웃었다	0
32	셀트리온 美국방부에 최대 7382억원 규모 코로나19 항원 신속진단키트 공급	0
33	셀트리온 진단키트 美 공급 계약금액 최대 7382억원	0
34	셀트리온 변이 코로나 치료제 CTP63 유럽 임상 1상 착수	0
35	셀트리온그룹 비상장 3사 합병 결정내년까지 3개 상장사 합병	0
36	지배구조 변화에SK이노 뚝 셀트리온 쑥	0
37	고가 의약품 압박 나선 美 셀트리온 등 K시밀러 반사효과 노린다	0
38	셀트리온카카오외국인기관 따라 핀셋 투자 해볼까	0
39	코로나 치료제 美EU 진출 임박 셀트리온 삼형제 나란히 급등	0
40	셀트리온 아이큐어와 알츠하이머 치매 치료용 패치제 국내 독점 판매 계약	0
41	렉키로나 날개 단 셀트리온 연매출 2조 돌파할까	0
42	셀트리온 허쥬마 日시장 점유율 50% 돌파	0
43	셀트리온 코로나 치료제 효능 확대되나 렉키로나 허가변경 신청	0
44	셀트리온 흡입형 코로나 치료제 호주서 임상 1상 허가	0
45	100만원 황제주 등극한 삼바시총 11위로 밀려난 셀트리온	0
46	코로나19 치료제 가정 투약 시대 열리나셀트리온 흡입형 치료제 임상 1상 돌입	0
47	흡입형 렉키로나 개발 속도 셀트리온 호주서 임상 1상	0
48	셀트리온 코로나 변이 예방백신 만든다	0
49	셀트리온 mRNA 개발 합류 배경엔전세계 수급난 속 토종 백신 필요성 ↑종합	0
50	셀트리온도 참전토종 mRNA 백신 언제 나올까	0
51	셀트리온 차세대 mRNA 백신 플랫폼 개발 착수	0
52	셀트리온 주주發 한투연 反공매도 운동 제동 걸리나	0
53	바이오주 강세 SK바사 15%↑ 셀트리온 4%↑ 삼바 2%↑	0
54	셀트리온 지주사 합병59조 공룡바이오사 탄생 초읽기	0
