date,up_count,down_count
2021-01-01,2.0,0.0
2021-01-03,0.0,3.0
2021-01-04,1.0,4.0
2021-01-05,3.0,2.0
2021-01-06,1.0,4.0
2021-01-07,3.0,1.0
2021-01-08,7.0,7.0
2021-01-10,1.0,1.0
2021-01-11,3.0,4.0
2021-01-12,2.0,2.0
2021-01-13,2.0,8.0
2021-01-14,1.0,1.0
2021-01-15,1.0,1.0
2021-01-17,0.0,1.0
2021-01-18,2.0,5.0
2021-01-19,4.0,1.0
2021-01-20,10.0,8.0
2021-01-21,10.0,4.0
2021-01-22,3.0,5.0
2021-01-23,0.0,1.0
2021-01-24,3.0,3.0
2021-01-25,5.0,2.0
2021-01-26,5.0,5.0
2021-01-27,10.0,8.0
2021-01-28,14.0,12.0
2021-01-29,4.0,4.0
2021-01-31,9.0,5.0
2021-02-01,4.0,4.0
2021-02-02,7.0,6.0
2021-02-03,7.0,12.0
2021-02-04,4.0,12.0
2021-02-05,2.0,6.0
2021-02-08,1.0,2.0
2021-02-09,3.0,6.0
2021-02-10,1.0,4.0
2021-02-11,1.0,4.0
2021-02-14,1.0,2.0
2021-02-15,8.0,5.0
2021-02-16,7.0,7.0
2021-02-17,2.0,5.0
2021-02-18,5.0,4.0
2021-02-19,1.0,3.0
2021-02-20,0.0,1.0
2021-02-21,2.0,1.0
2021-02-22,1.0,1.0
2021-02-23,2.0,3.0
2021-02-24,6.0,13.0
2021-02-25,10.0,4.0
2021-02-26,2.0,3.0
2021-02-28,0.0,1.0
2021-03-01,6.0,8.0
2021-03-02,5.0,15.0
2021-03-03,9.0,13.0
2021-03-04,3.0,2.0
2021-03-05,1.0,3.0
2021-03-07,2.0,7.0
2021-03-08,2.0,4.0
2021-03-09,3.0,11.0
2021-03-10,2.0,8.0
2021-03-11,3.0,6.0
2021-03-12,3.0,3.0
2021-03-14,1.0,3.0
2021-03-15,2.0,4.0
2021-03-16,8.0,8.0
2021-03-17,6.0,16.0
2021-03-18,9.0,2.0
2021-03-19,4.0,3.0
2021-03-21,1.0,2.0
2021-03-22,3.0,7.0
2021-03-23,6.0,3.0
2021-03-24,4.0,4.0
2021-03-25,4.0,5.0
2021-03-26,4.0,2.0
2021-03-28,1.0,0.0
2021-03-29,4.0,5.0
2021-03-30,4.0,7.0
2021-03-31,4.0,0.0
2021-04-01,2.0,3.0
2021-04-02,1.0,2.0
2021-04-03,0.0,1.0
2021-04-04,0.0,2.0
2021-04-05,2.0,7.0
2021-04-06,4.0,4.0
2021-04-07,7.0,8.0
2021-04-08,1.0,7.0
2021-04-09,1.0,1.0
2021-04-11,3.0,0.0
2021-04-12,5.0,7.0
2021-04-13,5.0,7.0
2021-04-14,5.0,10.0
2021-04-15,6.0,5.0
2021-04-16,2.0,3.0
2021-04-18,0.0,3.0
2021-04-19,2.0,5.0
2021-04-20,2.0,3.0
2021-04-21,3.0,8.0
2021-04-22,6.0,4.0
2021-04-23,8.0,2.0
2021-04-25,1.0,4.0
2021-04-26,1.0,10.0
2021-04-27,6.0,8.0
2021-04-28,4.0,6.0
2021-04-29,6.0,8.0
2021-04-30,1.0,11.0
2021-05-02,3.0,0.0
2021-05-03,1.0,2.0
2021-05-04,2.0,9.0
2021-05-05,1.0,3.0
2021-05-06,6.0,10.0
2021-05-07,8.0,3.0
2021-05-09,6.0,6.0
2021-05-10,5.0,7.0
2021-05-11,7.0,3.0
2021-05-12,2.0,6.0
2021-05-13,8.0,4.0
2021-05-14,2.0,4.0
2021-05-15,0.0,1.0
2021-05-16,4.0,2.0
2021-05-17,2.0,3.0
2021-05-18,3.0,6.0
2021-05-19,4.0,8.0
2021-05-20,1.0,10.0
2021-05-21,0.0,1.0
2021-05-23,3.0,1.0
2021-05-24,13.0,8.0
2021-05-25,11.0,16.0
2021-05-26,3.0,12.0
2021-05-27,16.0,4.0
2021-05-28,2.0,9.0
2021-05-29,0.0,1.0
2021-05-30,3.0,3.0
2021-05-31,4.0,3.0
2021-06-01,2.0,7.0
2021-06-02,5.0,9.0
2021-06-03,1.0,5.0
2021-06-04,0.0,11.0
2021-06-05,0.0,1.0
2021-06-06,0.0,3.0
2021-06-07,3.0,22.0
2021-06-08,4.0,21.0
2021-06-09,3.0,5.0
2021-06-10,6.0,12.0
2021-06-11,1.0,0.0
2021-06-13,0.0,3.0
2021-06-14,11.0,10.0
2021-06-15,4.0,13.0
2021-06-16,10.0,9.0
2021-06-17,8.0,10.0
2021-06-18,5.0,4.0
2021-06-20,6.0,7.0
2021-06-21,3.0,9.0
2021-06-22,5.0,13.0
2021-06-23,7.0,8.0
2021-06-24,2.0,4.0
2021-06-25,5.0,2.0
2021-06-26,0.0,3.0
2021-06-27,5.0,3.0
2021-06-28,4.0,11.0
2021-06-29,7.0,8.0
2021-06-30,15.0,8.0
2021-07-01,7.0,13.0
2021-07-02,1.0,2.0
2021-07-04,1.0,0.0
2021-07-05,10.0,2.0
2021-07-06,5.0,2.0
2021-07-07,1.0,5.0
2021-07-08,0.0,5.0
2021-07-09,2.0,1.0
2021-07-11,2.0,3.0
2021-07-12,2.0,4.0
2021-07-13,7.0,9.0
2021-07-14,3.0,3.0
2021-07-15,2.0,3.0
2021-07-16,2.0,5.0
2021-07-18,0.0,8.0
2021-07-19,14.0,3.0
2021-07-20,4.0,6.0
2021-07-21,10.0,8.0
2021-07-22,12.0,10.0
2021-07-23,3.0,2.0
2021-07-25,1.0,3.0
2021-07-26,14.0,4.0
2021-07-27,3.0,8.0
2021-07-28,4.0,11.0
2021-07-29,3.0,2.0
2021-07-30,4.0,2.0
2021-07-31,1.0,0.0
2021-08-01,0.0,3.0
2021-08-02,6.0,5.0
2021-08-03,2.0,1.0
2021-08-04,3.0,1.0
2021-08-05,1.0,2.0
2021-08-06,2.0,2.0
2021-08-08,2.0,1.0
2021-08-09,9.0,5.0
2021-08-10,6.0,2.0
2021-08-11,2.0,6.0
2021-08-12,3.0,3.0
2021-08-13,3.0,2.0
2021-08-15,3.0,1.0
2021-08-16,2.0,0.0
2021-08-17,4.0,0.0
2021-08-18,5.0,9.0
2021-08-19,4.0,3.0
2021-08-20,5.0,4.0
2021-08-21,1.0,0.0
2021-08-22,0.0,2.0
2021-08-23,2.0,5.0
2021-08-24,5.0,4.0
2021-08-25,7.0,5.0
2021-08-26,8.0,5.0
2021-08-27,3.0,3.0
2021-08-29,4.0,1.0
2021-08-30,10.0,5.0
2021-08-31,6.0,2.0
2021-09-01,3.0,3.0
2021-09-02,0.0,3.0
2021-09-03,3.0,6.0
2021-09-05,1.0,3.0
2021-09-06,6.0,2.0
2021-09-07,8.0,8.0
2021-09-08,0.0,19.0
2021-09-09,7.0,17.0
2021-09-10,3.0,17.0
2021-09-12,1.0,5.0
2021-09-13,10.0,10.0
2021-09-14,3.0,12.0
2021-09-15,7.0,8.0
2021-09-16,9.0,10.0
2021-09-17,9.0,4.0
2021-09-20,1.0,0.0
2021-09-21,1.0,0.0
2021-09-22,0.0,12.0
2021-09-23,1.0,1.0
2021-09-24,4.0,5.0
2021-09-25,0.0,1.0
2021-09-26,0.0,1.0
2021-09-27,6.0,5.0
2021-09-28,3.0,4.0
2021-09-29,8.0,8.0
2021-09-30,2.0,7.0
2021-10-01,6.0,8.0
2021-10-02,0.0,1.0
2021-10-03,0.0,3.0
2021-10-04,17.0,6.0
2021-10-05,9.0,3.0
2021-10-06,3.0,18.0
2021-10-07,5.0,5.0
2021-10-08,2.0,2.0
2021-10-10,0.0,2.0
2021-10-11,1.0,5.0
2021-10-12,2.0,4.0
2021-10-13,13.0,2.0
2021-10-14,13.0,4.0
2021-10-15,5.0,7.0
2021-10-16,2.0,1.0
2021-10-17,1.0,1.0
2021-10-18,9.0,7.0
2021-10-19,5.0,6.0
2021-10-20,6.0,8.0
2021-10-21,11.0,6.0
2021-10-22,6.0,4.0
2021-10-24,0.0,2.0
2021-10-25,2.0,2.0
2021-10-26,3.0,2.0
2021-10-27,5.0,9.0
2021-10-28,2.0,1.0
2021-10-29,5.0,0.0
2021-10-31,1.0,0.0
