date,up_count,down_count
2021-01-03,1.0,0.0
2021-01-04,2.0,0.0
2021-01-05,2.0,0.0
2021-01-06,0.0,1.0
2021-01-08,0.0,1.0
2021-01-10,1.0,0.0
2021-01-11,2.0,0.0
2021-01-12,1.0,0.0
2021-01-14,1.0,0.0
2021-01-15,4.0,0.0
2021-01-18,0.0,1.0
2021-01-20,1.0,0.0
2021-01-22,4.0,4.0
2021-01-24,3.0,3.0
2021-01-25,2.0,1.0
2021-01-27,4.0,2.0
2021-01-28,15.0,10.0
2021-01-29,7.0,7.0
2021-02-02,14.0,4.0
2021-02-05,4.0,2.0
2021-02-07,7.0,1.0
2021-02-08,3.0,3.0
2021-02-12,1.0,0.0
2021-02-14,5.0,3.0
2021-02-17,10.0,4.0
2021-02-22,4.0,3.0
2021-02-23,5.0,4.0
2021-02-24,16.0,1.0
2021-02-25,6.0,1.0
2021-02-27,1.0,0.0
2021-03-03,4.0,0.0
2021-03-04,8.0,9.0
2021-03-07,1.0,6.0
2021-03-09,8.0,2.0
2021-03-10,8.0,6.0
2021-03-11,5.0,4.0
2021-03-16,8.0,7.0
2021-03-18,6.0,4.0
2021-03-19,0.0,3.0
2021-03-21,7.0,2.0
2021-03-22,8.0,1.0
2021-03-23,4.0,4.0
2021-03-24,9.0,5.0
2021-03-25,14.0,3.0
2021-03-29,2.0,0.0
2021-03-31,9.0,3.0
2021-04-04,8.0,4.0
2021-04-05,12.0,7.0
2021-04-07,11.0,9.0
2021-04-13,5.0,11.0
2021-04-14,17.0,1.0
2021-04-15,15.0,2.0
2021-04-16,2.0,6.0
2021-04-20,7.0,1.0
2021-04-21,8.0,1.0
2021-04-25,8.0,1.0
2021-04-26,6.0,2.0
2021-04-27,9.0,3.0
2021-04-28,7.0,5.0
2021-04-29,12.0,5.0
2021-05-02,8.0,3.0
2021-05-03,13.0,2.0
2021-05-06,3.0,8.0
2021-05-11,9.0,4.0
2021-05-12,9.0,7.0
2021-05-13,7.0,7.0
2021-05-14,4.0,2.0
2021-05-18,6.0,0.0
2021-05-19,6.0,4.0
2021-05-20,8.0,2.0
2021-05-24,9.0,5.0
2021-05-26,7.0,4.0
2021-05-27,9.0,3.0
2021-05-30,8.0,5.0
2021-06-01,6.0,0.0
2021-06-02,3.0,2.0
2021-06-03,10.0,8.0
2021-06-04,6.0,2.0
2021-06-09,8.0,5.0
2021-06-10,5.0,3.0
2021-06-15,12.0,3.0
2021-06-16,6.0,0.0
2021-06-21,7.0,4.0
2021-06-22,9.0,3.0
2021-06-23,13.0,1.0
2021-06-24,3.0,1.0
2021-06-25,2.0,5.0
2021-06-27,5.0,0.0
2021-06-28,7.0,6.0
2021-06-29,9.0,1.0
2021-07-01,12.0,4.0
2021-07-05,9.0,8.0
2021-07-06,8.0,5.0
2021-07-07,24.0,7.0
2021-07-08,6.0,10.0
2021-07-11,5.0,2.0
2021-07-13,9.0,3.0
2021-07-15,7.0,6.0
2021-07-16,2.0,2.0
2021-07-18,9.0,3.0
2021-07-19,3.0,8.0
2021-07-22,5.0,2.0
2021-07-23,5.0,2.0
2021-07-25,5.0,1.0
2021-07-26,4.0,3.0
2021-07-27,7.0,0.0
2021-07-28,10.0,2.0
2021-07-29,12.0,8.0
2021-07-30,7.0,4.0
2021-08-01,4.0,2.0
2021-08-02,9.0,1.0
2021-08-05,5.0,2.0
2021-08-10,9.0,5.0
2021-08-11,14.0,9.0
2021-08-12,12.0,7.0
2021-08-16,9.0,5.0
2021-08-24,5.0,6.0
2021-08-25,5.0,4.0
2021-08-26,5.0,5.0
2021-08-27,5.0,1.0
2021-08-30,12.0,2.0
2021-08-31,6.0,2.0
2021-09-01,4.0,2.0
2021-09-02,5.0,3.0
2021-09-05,5.0,0.0
2021-09-07,4.0,3.0
2021-09-08,19.0,6.0
2021-09-09,6.0,9.0
2021-09-10,13.0,6.0
2021-09-13,4.0,0.0
2021-09-14,8.0,2.0
2021-09-15,23.0,1.0
2021-09-16,8.0,2.0
2021-09-17,4.0,0.0
2021-09-20,2.0,0.0
2021-09-22,14.0,1.0
2021-09-23,9.0,3.0
2021-09-24,6.0,4.0
2021-09-26,6.0,2.0
2021-09-27,13.0,12.0
2021-09-28,12.0,4.0
2021-09-29,6.0,2.0
2021-09-30,5.0,9.0
2021-10-05,11.0,6.0
2021-10-06,15.0,4.0
2021-10-07,16.0,9.0
2021-10-08,15.0,4.0
2021-10-09,2.0,1.0
2021-10-11,9.0,7.0
2021-10-12,28.0,10.0
2021-10-13,15.0,6.0
2021-10-14,12.0,7.0
2021-10-15,7.0,9.0
2021-10-16,1.0,0.0
2021-10-17,7.0,3.0
2021-10-18,6.0,3.0
2021-10-19,9.0,1.0
2021-10-20,11.0,3.0
2021-10-21,20.0,1.0
2021-10-25,1.0,4.0
2021-10-26,4.0,5.0
2021-10-27,8.0,2.0
2021-10-28,12.0,10.0
2021-10-30,1.0,0.0
2021-01-26,1.0,0.0
2021-01-31,3.0,0.0
2021-02-03,10.0,1.0
2021-02-04,0.0,2.0
2021-02-09,3.0,6.0
2021-02-10,0.0,2.0
2021-02-11,1.0,0.0
2021-02-15,2.0,3.0
2021-02-16,3.0,4.0
2021-02-18,4.0,4.0
2021-02-19,1.0,1.0
2021-02-21,1.0,4.0
2021-02-26,1.0,3.0
2021-02-28,2.0,0.0
2021-03-01,6.0,4.0
2021-03-02,3.0,2.0
2021-03-05,5.0,4.0
2021-03-06,0.0,1.0
2021-03-08,4.0,0.0
2021-03-12,6.0,0.0
2021-03-13,3.0,0.0
2021-03-14,0.0,1.0
2021-03-15,1.0,9.0
2021-03-17,12.0,7.0
2021-03-26,7.0,0.0
2021-03-27,3.0,0.0
2021-03-28,1.0,1.0
2021-03-30,2.0,3.0
2021-04-01,7.0,3.0
2021-04-02,5.0,3.0
2021-04-03,2.0,0.0
2021-04-06,6.0,6.0
2021-04-08,3.0,4.0
2021-04-09,1.0,6.0
2021-04-11,1.0,3.0
2021-04-12,4.0,2.0
2021-04-17,1.0,0.0
2021-04-18,3.0,2.0
2021-04-19,5.0,2.0
2021-04-22,10.0,0.0
2021-04-23,3.0,4.0
2021-04-30,10.0,2.0
2021-05-01,1.0,0.0
2021-05-04,1.0,1.0
2021-05-05,1.0,5.0
2021-05-07,3.0,4.0
2021-05-09,1.0,4.0
2021-05-10,7.0,5.0
2021-05-16,1.0,0.0
2021-05-17,6.0,5.0
2021-05-21,6.0,1.0
2021-05-22,0.0,1.0
2021-05-23,0.0,3.0
2021-05-25,3.0,1.0
2021-05-28,3.0,5.0
2021-05-31,4.0,3.0
2021-06-06,2.0,6.0
2021-06-07,2.0,5.0
2021-06-08,3.0,2.0
2021-06-11,1.0,0.0
2021-06-13,1.0,0.0
2021-06-14,8.0,0.0
2021-06-17,1.0,1.0
2021-06-18,3.0,2.0
2021-06-20,0.0,1.0
2021-06-30,13.0,2.0
2021-07-02,3.0,11.0
2021-07-03,0.0,3.0
2021-07-04,1.0,0.0
2021-07-09,4.0,4.0
2021-07-12,2.0,2.0
2021-07-14,3.0,3.0
2021-07-20,4.0,4.0
2021-07-21,7.0,1.0
2021-08-03,9.0,2.0
2021-08-04,6.0,2.0
2021-08-08,3.0,1.0
2021-08-09,4.0,2.0
2021-08-13,5.0,4.0
2021-08-14,1.0,0.0
2021-08-15,3.0,2.0
2021-08-17,6.0,4.0
2021-08-18,1.0,2.0
2021-08-19,6.0,6.0
2021-08-21,2.0,0.0
2021-08-22,5.0,1.0
2021-08-23,1.0,4.0
2021-08-29,2.0,0.0
2021-09-03,2.0,0.0
2021-09-04,0.0,1.0
2021-09-06,3.0,1.0
2021-09-12,6.0,3.0
2021-10-01,1.0,2.0
2021-10-03,2.0,1.0
2021-10-04,3.0,1.0
2021-10-10,2.0,6.0
2021-10-22,13.0,2.0
2021-10-24,1.0,3.0
2021-10-29,5.0,2.0
2021-10-31,1.0,2.0
