	title	label
0	네이버 키워드 리뷰 별점보다 좋아요	0
1	네이버 인플루언서 검색도 묶고 모아서 제공한다	0
2	네이버 에어서치 공개AI로 구글 검색에 맞불	0
3	정답→관심사 네이버 검색 확 바꾼다	0
4	네이버 키워드 리뷰 정식 출시	0
5	네이버 트렌드관심사까지 찾아주는 검색 첫선	0
6	단독 네이버 한성숙 CEO 관두고 유럽 커머스 챙긴다	0
7	네이버 ESG평가서 A 1년새 한단계 등급 상향	0
8	쏟아지는 인수합병 썰 주가띄우기 미끼된 네이버카카오	0
9	네이버 코끼리 등 올라탔다16억명 쓰는 인도 SNS 투자	0
10	캐시백 우회로된 네이버정부 네이버 통한 이마트 사용분 제외	0
11	쏟아지는 인수합병 썰 주가띄우기 미끼된 네이버카카오	0
12	네이버 코끼리 등 올라탔다16억명 쓰는 인도 SNS 투자	0
13	네이버 경영진 쇄신 속도카카오도 교체설	0
14	네이버 플랫폼 규제에도 3분기 사상 최대 실적웹툰 성과 덕분	0
15	네이버 스타트업 적극 육성AI 콘텐츠社에 30억 투자	0
16	네이버 또 역대 최고실적일등공신은 웹툰제페토	0
17	MZ세대에 눈도장2000만 찍은 네이버 인증서	0
18	규제 이슈 정점 지났다증권가 3분기 최대 실적 네이버 사라	0
19	네이버와 지분교환 동맹사가 먼저 웃었다	0
20	네이버클라우드 부천 AI데이터센터 구축 지원	0
21	네이버 웹툰메타버스 글로벌 전략 통했다	0
22	대출 불가 판정받은 자영업자네이버 신용평가가 살렸다	0
23	대선 앞두고 네이버 댓글 제한 강화기사 하나에 1개 아이디로 댓글은 3개까지만	0
24	네이버 장보기에 쓱 들어갔네	0
25	네이버 라인 탄 티빙 글로벌 OTT시장 도전장	0
26	네이버카카오도 통신복지기금 내야 국감서 한목소리 왜 인싸IT	0
27	네이버 직장내 괴롭힘 조사심의 기구 검토	0
28	네이버 물류 IT 테크타카에 후속 투자	0
29	AI 음성 기록 네이버 클로바노트는 진화 중기업 시장 공략	0
30	네이버 Z세대 3총사 진격 해외서도 통했다	0
31	네이버 역대급 실적 자신감스마트스토어 글로벌 확장	0
32	네이버카카오 세계 최고학회서 K인공지능 기술 뽐냈다	0
33	네이버카카오 젊은 리더십 인적 쇄신 시동	0
34	또 분기 최대실적 네이버 커머스가 글로벌 시장 교두보될 것	0
35	네이버 3분기 사상 최대 실적글로벌 콘텐트가 견인	0
36	네이버 주가 웹툰제페토에 달려	0
37	SSG닷컴 네이버 장보기 입점	0
38	플랫폼 규제 압박에도 네이버 사상최대 실적	0
39	네이버 3분기 영업익 3498억 사상 최고치	0
40	기자24시 네이버의 글로벌 진격	0
41	에스티씨랩 넷퍼넬 네이버클라우드 마켓플레이스 입점공동 프로모션 진행	0
42	네이버카카오 골목상권과 상생하겠다	0
43	네이버웍스 日 협업툴 시장 5년째 1위	0
44	네이버카카오 기술 경쟁韓 AI 수준 높여	0
45	종합CJ네이버 업은 OTT 티빙 라인 손잡고 해외간다넷플릭스 맞짱	0
46	네이버SSG닷컴 쿠팡 견제 위해 손잡았다	0
47	네이버에서 이마트 장보기 가능해진다	0
48	네이버 日웹툰 1위 탈환 작전소프트뱅크 전자책社에 베팅	0
49	기관과 외인이 돌아왔다 네이버카카오 다시 꿈틀	0
50	쿠팡서 네이버페이로 결제하면 캐시백 실적 인정될 수도	0
51	플랫폼 때리기에도네이버카카오 실적은 활짝	0
52	플랫폼 규제 뚫고 3분기 최대 실적 찍는 네이버카카오	0
53	네이버카카오 相生 경영 보폭 확장소상공인창작자에 성장 지원금 쏜다	0
54	단독 네이버 인공지능 소뱅 자본력 장착아마존 구글과 겨룬다	0
55	단독정부에 백기 든 네이버임직원에 임금체불 87억 지급했다	0
56	네이버 검색 초대규모 AI로 질문도 제안한다	0
57	네이버카카오 동반 급등 규제 리스크 벗어나나	0
58	네이버 한글날 맞아 새 글꼴 마루 부리 무료 배포	0
59	네이버는 리더십 정비 카카오는 글로벌 진출 국감 표적 된 플랫폼	0
60	한성숙 네이버 대표 직장내 괴롭힘 사과책임지고 바꿀 것	0
61	외상 결제 네이버페이 연체율 급증 괜찮나	0
62	네이버이마트 지역명물 직접 뽑아주세요	0
63	유튜브네이버TV 등 생중계내달 7일까지 사전신청	0
64	누구나 웹툰 작가된다네이버 웹툰 AI페인터	0
65	네이버 글로벌 학회서 8개 논문 채택 AI 리더십 확보	0
66	단독쿠팡 비켜네이버CJ 물류센터 AI 이어 디지털트윈 도입한다	0
67	또다시 플랫폼 국감카카오네이버 상생안 짜내기 골머리	0
68	자사주 맞교환 네이버미래에셋은 공동보유자	0
69	네이버 카카오 한국선 돈 벌기 어렵겠네해외로 방향 튼다	0
