	title	label
0	삼성전자 국내 최대 20㎏ 용량 비스포크 그랑데 건조기 AI 선봬	0
1	SK매직 삼성전자와 가전 렌탈서비스 전국 SKT 매장 확대 판매	0
2	삼성전자 삼성 개발자 콘퍼런스 2021 개최	0
3	삼성전자 세계 3분기 스마트폰 판매량 1위4분기 애플이 선두로	0
4	SKT 삼성전자와 손잡고 생활 가전 렌탈 구독 서비스 시행	0
5	삼성전자 20kg 용량 건조기 비스포크 그랑데 AI 신제품 출시에너지 효율 1등급	0
6	SK텔레콤 삼성전자 가전 렌탈로 T우주 넓힌다	0
7	삼성전자 2021년 3분기 실적 발표	0
8	삼성전자 거대한 한걸음 함께 내디뎌요	0
9	삼성전자 2021 스마트비즈엑스포 개최	0
10	삼성전자 거대한 한걸음 함께 내디뎌요	0
11	삼성전자 더 프레임으로 옐로우코너 작품 담는다프랑스 내 주요 갤러리 전시판매	0
12	SK텔레콤 삼성전자 가전 렌탈로 T우주 넓힌다	0
13	삼성전자 제가 가진 능력 100% 활용 중이신가요	0
14	삼성전자 국내 최대 20kg 용량 건조기 비스포크 그랑데 AI 신제품 출시	0
15	혁신경영 삼성전자 불확실성 확대에도 R&D시설투자 확대	0
16	삼성전자서비스 2021 콜센터품질지수 전 부문 최고 등급 평가비대면 서비스 강화	0
17	삼성전자 브랜드 가치 2013년 이래 최고 성장률 기록	0
18	삼성전자 갤럭시 Z 플립 3 비스포크 에디션 공개	0
19	삼성전자 고장 여부 자가 진단관리 홈케어 매니저 선봬	0
20	중기부‧중기중앙회‧삼성전자 2629일 스마트비즈엑스포 개최 중	0
21	삼성전자 갤럭시 워치4버즈2 메종키츠네 에디션 공개	0
22	삼성전자 49色 갤럭시Z 플립3 선보인다	0
23	삼성전자 비대면 통합 쇼핑 서비스 VR 스토어 오픈	0
24	삼성전자 삼성 소프트웨어 개발자 콘퍼런스 11월 개최	0
25	삼성전자메종키츠네 맞손갤워치4버즈2 한정판 내놓는다	0
26	삼성전자 하반기 C랩 인사이드 우수과제 5개 선정	0
27	삼성전자 스마트 모니터 글로벌 판매 60만대 돌파	0
28	삼성전자 비대면 통합쇼핑서비스 VR 스토어 오픈1대1 화상상담 제공	0
29	삼성전자 2021 대한민국 에너지대전 참가	0
30	삼성전자 5G 업로드 속도 벽 깼다1기가 영상 단 10초	0
31	삼성전자 유럽서 Life Unstoppable 2021 개최	0
32	삼성전자 업계 최선단 14나노 EUV DDR5 D램 양산	0
33	삼성전자 EUV 공정 14나노 D램 양산 시작	0
34	삼성전자 2021 협력 회사 온라인 채용 박람회 개최	0
35	삼성전자 Filmed withGalaxy 캠페인	0
36	삼성전자서비스 정보보호관리체계 인증 획득	0
37	삼성전자 5G 활용한 데이터 업로드 속도 글로벌 최고	0
38	삼성전자 16년 연속 세계 TV 1위 도전라이프스타일 TV로 소비자 겨냥	0
39	삼성전자 삼성 AI 포럼 2021 11월 개최	0
40	삼성전자 2021년도 3분기 잠정 실적 발표	0
41	삼성전자 삼성 파운드리 포럼 2021 개최	0
42	삼성전자 2021 협력회사 온라인 채용박람회 개최이달 13일26일까지	0
43	삼성전자 삼성 개발자 콘퍼런스 개최 차세대 기술 논의	0
44	삼성전자 업계 최초 CXL 메모리 소프트웨어 개발 솔루션 공개	0
45	삼성전자 제 56회 전국기능 경기대회 후원	0
46	삼성전자 삼성전자구찌 스마트하게 손잡다	0
47	삼성전자 갤럭시 Z 폴드3갤럭시 Z 플립3 국내 100만 대 판매 돌파	0
48	삼성전자 톰브라운 입은 갤럭시 스타일도 혁신적	0
