date,up_count,down_count,celltrion_price,celltrion_change,news_up_count,news_down_count
2021-10-31,0,0,200500,0.0,0.0,0.0
2021-10-29,5,2,200500,-6.96,0.0,0.0
2021-10-28,0,1,215500,-1.6,0.0,2.0
2021-10-27,0,0,219000,-1.57,0.0,1.0
2021-10-26,0,0,222500,2.77,0.0,1.0
2021-10-25,1,0,216500,-1.37,0.0,5.0
2021-10-24,0,0,219500,0.0,0.0,0.0
2021-10-22,0,0,219500,0.92,0.0,0.0
2021-10-21,1,0,217500,-0.68,0.0,0.0
2021-10-20,0,0,219000,0.46,1.0,1.0
2021-10-19,0,2,218000,0.69,1.0,0.0
2021-10-18,0,0,216500,-1.59,0.0,1.0
2021-10-17,0,0,220000,0.0,0.0,0.0
2021-10-15,0,0,220000,-0.9,0.0,0.0
2021-10-14,0,0,222000,3.02,1.0,2.0
2021-10-13,0,0,215500,0.47,1.0,1.0
2021-10-12,0,2,214500,-4.24,4.0,0.0
2021-10-11,0,0,224000,0.0,0.0,2.0
2021-10-08,1,0,224000,5.16,0.0,0.0
2021-10-07,2,1,213000,0.47,0.0,0.0
2021-10-06,0,1,212000,-2.75,0.0,1.0
2021-10-05,2,2,218000,-12.1,2.0,3.0
2021-10-04,0,0,248000,0.0,0.0,0.0
2021-10-01,0,1,248000,-4.43,2.0,0.0
2021-09-30,0,0,259500,-0.57,0.0,1.0
2021-09-29,2,0,261000,-0.95,0.0,0.0
2021-09-28,0,0,263500,-1.5,0.0,0.0
2021-09-27,0,0,267500,-2.55,0.0,0.0
2021-09-26,0,0,274500,0.0,0.0,0.0
2021-09-24,0,0,274500,-3.51,0.0,1.0
2021-09-23,2,2,284500,3.27,3.0,2.0
2021-09-22,0,0,275500,0.0,0.0,1.0
2021-09-17,0,0,275500,3.18,0.0,0.0
2021-09-16,0,0,267000,-2.02,1.0,1.0
2021-09-15,0,0,272500,3.61,0.0,1.0
2021-09-14,0,0,263000,0.38,0.0,0.0
2021-09-13,1,1,262000,-2.06,0.0,0.0
2021-09-12,0,0,267500,0.0,0.0,0.0
2021-09-10,1,0,267500,-0.56,0.0,0.0
2021-09-09,0,0,269000,-1.65,0.0,0.0
2021-09-08,0,0,273500,-2.15,0.0,0.0
2021-09-07,0,0,279500,0.36,0.0,0.0
2021-09-06,0,0,278500,-1.59,0.0,1.0
2021-09-05,0,0,283000,0.0,0.0,0.0
2021-09-03,0,0,283000,-1.74,0.0,0.0
2021-09-02,0,0,288000,-0.86,0.0,0.0
2021-09-01,1,0,290500,-0.85,0.0,0.0
2021-08-31,0,0,293000,0.69,0.0,0.0
2021-08-30,2,0,291000,-1.19,0.0,1.0
2021-08-29,0,0,294500,0.0,0.0,1.0
2021-08-27,0,2,294500,3.51,0.0,1.0
2021-08-26,1,0,284500,0.89,0.0,0.0
2021-08-25,0,0,282000,-0.18,1.0,0.0
2021-08-24,1,0,282500,-0.53,0.0,0.0
2021-08-23,0,0,284000,6.77,1.0,0.0
2021-08-22,0,0,266000,0.0,0.0,1.0
2021-08-20,0,0,266000,-1.85,1.0,0.0
2021-08-19,2,0,271000,-1.09,0.0,0.0
2021-08-18,0,0,274000,0.0,0.0,0.0
2021-08-17,0,0,274000,-0.54,0.0,1.0
2021-08-16,0,0,275500,0.0,0.0,0.0
2021-08-13,0,0,275500,-2.13,0.0,1.0
2021-08-12,0,2,281500,-0.53,0.0,3.0
2021-08-11,2,1,283000,4.81,3.0,0.0
2021-08-10,0,0,270000,1.5,3.0,3.0
2021-08-09,1,0,266000,-2.03,4.0,1.0
2021-08-08,0,0,271500,0.0,0.0,0.0
2021-08-06,0,0,271500,0.93,0.0,0.0
2021-08-05,0,0,269000,-0.19,0.0,0.0
2021-08-04,1,0,269500,1.7,1.0,5.0
2021-08-03,0,0,265000,0.57,0.0,1.0
2021-08-02,0,1,263500,3.94,1.0,0.0
2021-08-01,0,0,253500,0.0,0.0,1.0
2021-07-30,0,0,253500,-3.06,0.0,0.0
2021-07-29,0,0,261500,0.0,0.0,0.0
2021-07-28,0,0,261500,-0.76,0.0,0.0
2021-07-27,0,0,263500,-0.19,1.0,1.0
2021-07-26,0,0,264000,-1.68,3.0,1.0
2021-07-25,0,0,268500,0.0,1.0,0.0
