date,naver_price,naver_change,up_count,down_count,news_up_count,news_down_count
2021-10-31,407000,0.0,0,0,1.0,0.0
2021-10-29,407000,-1.45,0,0,5.0,0.0
2021-10-28,413000,-0.36,0,0,2.0,1.0
2021-10-27,414500,0.48,1,0,5.0,9.0
2021-10-26,412500,2.48,1,0,3.0,2.0
2021-10-25,402500,-1.23,0,0,2.0,2.0
2021-10-24,407500,0.0,0,0,0.0,2.0
2021-10-22,407500,-0.73,0,0,6.0,4.0
2021-10-21,410500,0.74,0,0,11.0,6.0
2021-10-20,407500,0.0,1,0,6.0,8.0
2021-10-19,407500,2.77,0,0,5.0,6.0
2021-10-18,396500,0.76,0,0,9.0,7.0
2021-10-17,393500,0.0,0,0,1.0,1.0
2021-10-15,393500,-0.38,1,0,5.0,7.0
2021-10-14,395000,3.4,0,0,13.0,4.0
2021-10-13,382000,2.69,1,0,13.0,2.0
2021-10-12,372000,-4.25,0,0,2.0,4.0
2021-10-11,388500,0.0,0,0,1.0,5.0
2021-10-08,388500,-1.27,1,0,2.0,2.0
2021-10-07,393500,5.5,0,0,5.0,5.0
2021-10-06,373000,0.67,3,0,3.0,18.0
2021-10-05,370500,-3.01,3,0,9.0,3.0
2021-10-04,382000,0.0,0,0,17.0,6.0
2021-10-01,382000,-1.55,2,0,6.0,8.0
2021-09-30,388000,0.26,0,0,2.0,7.0
2021-09-29,387000,-1.4,0,0,8.0,8.0
2021-09-28,392500,-2.61,1,0,3.0,4.0
2021-09-27,403000,-0.62,0,0,6.0,5.0
2021-09-26,405500,0.0,0,0,0.0,1.0
2021-09-24,405500,1.38,1,0,4.0,5.0
2021-09-23,400000,-0.74,1,1,1.0,1.0
2021-09-22,403000,0.0,0,0,0.0,12.0
2021-09-17,403000,0.25,0,0,9.0,4.0
2021-09-16,402000,0.37,2,0,9.0,10.0
2021-09-15,400500,-0.5,1,2,7.0,8.0
2021-09-14,402500,-1.35,4,3,3.0,12.0
2021-09-13,408000,-0.49,1,1,10.0,10.0
2021-09-12,410000,0.0,0,0,1.0,5.0
2021-09-10,410000,2.76,0,0,3.0,17.0
