date,samsung_price,samsung_change,up_count,down_count,news_up,news_down
2021-10-31,69800,0.0,0,0,1.0,2.0
2021-10-29,69800,-1.27,1,3,5.0,2.0
2021-10-28,70700,0.86,7,0,12.0,10.0
2021-10-27,70100,-1.41,1,2,8.0,2.0
2021-10-26,71100,1.28,0,1,4.0,5.0
2021-10-25,70200,-0.28,5,6,1.0,4.0
2021-10-24,70400,0.0,0,0,1.0,3.0
2021-10-22,70400,0.28,4,2,13.0,2.0
2021-10-21,70200,-0.14,5,2,20.0,1.0
2021-10-20,70300,-0.42,3,2,11.0,3.0
2021-10-19,70600,0.57,7,2,9.0,1.0
2021-10-18,70200,0.14,3,3,6.0,3.0
2021-10-17,70100,0.0,0,0,7.0,3.0
2021-10-15,70100,1.01,4,2,7.0,9.0
2021-10-14,69400,0.87,9,16,12.0,7.0
2021-10-13,68800,-0.29,7,3,15.0,6.0
2021-10-12,69000,-3.5,12,16,28.0,10.0
2021-10-11,71500,0.0,1,1,9.0,7.0
2021-10-08,71500,-0.14,7,2,15.0,4.0
2021-10-07,71600,0.42,1,8,16.0,9.0
2021-10-06,71300,-1.25,8,8,15.0,4.0
2021-10-05,72200,-1.37,5,12,11.0,6.0
2021-10-04,73200,0.0,2,2,3.0,1.0
2021-10-01,73200,-1.21,1,3,1.0,2.0
2021-09-30,74100,0.0,1,2,5.0,9.0
2021-09-29,74100,-2.88,9,6,6.0,2.0
2021-09-28,76300,-1.8,1,3,12.0,4.0
2021-09-27,77700,0.52,5,1,13.0,12.0
2021-09-26,77300,0.0,0,0,6.0,2.0
2021-09-24,77300,-0.13,8,2,6.0,4.0
2021-09-23,77400,0.26,13,3,9.0,3.0
2021-09-22,77200,0.0,0,0,14.0,1.0
2021-09-17,77200,1.45,3,1,4.0,0.0
2021-09-16,76100,-1.17,3,0,8.0,2.0
2021-09-15,77000,0.52,3,2,23.0,1.0
2021-09-14,76600,0.39,0,0,8.0,2.0
2021-09-13,76300,1.33,2,1,4.0,0.0
2021-09-12,75300,0.0,0,0,6.0,3.0
2021-09-10,75300,0.0,2,3,13.0,6.0
2021-09-09,75300,-1.31,3,2,6.0,9.0
2021-09-08,76300,0.26,1,1,19.0,6.0
2021-09-07,76100,-1.55,8,4,4.0,3.0
2021-09-06,77300,0.91,0,2,3.0,1.0
2021-09-05,76600,0.0,0,0,5.0,0.0
2021-09-03,76600,0.79,4,3,2.0,0.0
2021-09-02,76000,-1.04,4,3,5.0,3.0
2021-09-01,76800,0.13,6,2,4.0,2.0
2021-08-31,76700,2.82,5,1,6.0,2.0
2021-08-30,74600,0.4,12,4,12.0,2.0
2021-08-29,74300,0.0,0,0,2.0,0.0
2021-08-27,74300,-0.4,6,3,5.0,1.0
2021-08-26,74600,-1.45,4,4,5.0,5.0
2021-08-25,75700,0.13,11,4,5.0,4.0
2021-08-24,75600,3.14,13,4,5.0,6.0
2021-08-23,73300,0.83,7,3,1.0,4.0
2021-08-22,72700,0.0,0,0,5.0,1.0
2021-08-19,73100,-1.08,6,8,6.0,6.0
2021-08-18,73900,-0.4,11,5,1.0,2.0
2021-08-17,74200,-0.27,9,13,6.0,4.0
2021-08-16,74400,0.0,2,6,9.0,5.0
2021-08-13,74400,-3.38,24,18,5.0,4.0
2021-08-12,77000,-1.91,7,11,12.0,7.0
2021-08-11,78500,-2.12,7,2,14.0,9.0
2021-08-10,80200,-1.6,6,4,9.0,5.0
2021-08-09,81500,0.0,3,2,4.0,2.0
2021-08-08,81500,0.0,0,0,3.0,1.0
2021-08-05,82100,-0.97,7,0,5.0,2.0
2021-08-04,82900,1.84,10,3,6.0,2.0
2021-08-03,81400,2.65,7,0,9.0,2.0
2021-08-02,79300,1.02,7,0,9.0,1.0
2021-08-01,78500,0.0,0,0,4.0,2.0
2021-07-30,78500,-0.63,3,4,7.0,4.0
2021-07-29,79000,-0.25,4,0,12.0,8.0
2021-07-28,79200,0.89,5,4,10.0,2.0
2021-07-27,78500,-0.38,3,1,7.0,0.0
2021-07-26,78800,-0.63,1,2,4.0,3.0
2021-07-25,79300,0.0,0,0,5.0,1.0
2021-07-23,79300,-0.5,1,0,5.0,2.0
2021-07-22,79700,1.53,2,4,5.0,2.0
2021-07-21,78500,-0.63,1,5,7.0,1.0
2021-07-20,79000,0.0,1,3,4.0,4.0
2021-07-19,79000,-1.0,2,0,3.0,8.0
2021-07-18,79800,0.0,0,0,9.0,3.0
2021-07-16,79800,-0.99,1,1,2.0,2.0
2021-07-15,80600,1.38,1,1,7.0,6.0
2021-07-14,79500,-0.38,1,1,3.0,3.0
2021-07-13,79800,0.13,6,0,9.0,3.0
2021-07-12,79700,0.38,2,0,2.0,2.0
2021-07-11,79400,0.0,0,0,5.0,2.0
2021-07-09,79400,-0.63,9,3,4.0,4.0
2021-07-08,79900,-1.11,9,3,6.0,10.0
2021-07-07,80800,-0.49,7,2,24.0,7.0
2021-07-06,81200,1.0,5,0,8.0,5.0
2021-07-05,80400,0.5,3,1,9.0,8.0
2021-07-04,80000,0.0,0,0,1.0,0.0
2021-07-02,80000,-0.12,2,4,3.0,11.0
2021-07-01,80100,-0.74,7,3,12.0,4.0
2021-06-30,80700,-0.37,5,0,13.0,2.0
2021-06-29,81000,-1.1,0,1,9.0,1.0
2021-06-28,81900,0.37,9,1,7.0,6.0
2021-06-27,81600,0.0,0,0,5.0,0.0
2021-06-25,81600,0.49,0,1,2.0,5.0
2021-06-24,81200,1.37,5,2,3.0,1.0
2021-06-23,80100,0.13,1,1,13.0,1.0
2021-06-22,80000,0.13,2,1,9.0,3.0
2021-06-21,79900,-0.75,3,5,7.0,4.0
2021-06-20,80500,0.0,0,0,0.0,1.0
2021-06-18,80500,-0.49,3,3,3.0,2.0
2021-06-17,80900,-1.1,2,1,1.0,1.0
2021-06-16,81800,1.11,7,0,6.0,0.0
2021-06-15,80900,0.5,4,1,12.0,3.0
2021-06-14,80500,-0.62,6,1,8.0,0.0
2021-06-13,81000,0.0,0,0,1.0,0.0
2021-06-11,81000,0.0,8,3,1.0,0.0
2021-06-10,81000,-0.12,2,1,5.0,3.0
2021-06-09,81100,-0.98,2,1,8.0,5.0
2021-06-08,81900,0.0,4,0,3.0,2.0
2021-06-07,81900,-0.36,4,1,2.0,5.0
2021-06-06,82200,0.0,0,0,2.0,6.0
2021-06-04,82200,-0.72,5,1,6.0,2.0
2021-06-03,82800,2.48,15,3,10.0,8.0
2021-06-02,80800,0.25,2,2,3.0,2.0
2021-06-01,80600,0.12,4,1,6.0,0.0
2021-05-31,80500,0.5,8,2,4.0,3.0
2021-05-30,80100,0.0,0,0,8.0,5.0
2021-05-28,80100,0.63,3,4,3.0,5.0
2021-05-27,79600,-0.25,5,2,9.0,3.0
2021-05-26,79800,-0.13,5,6,7.0,4.0
2021-05-25,79900,0.25,1,3,3.0,1.0
2021-05-24,79700,-0.5,9,0,9.0,5.0
2021-05-23,80100,0.0,0,0,0.0,3.0
2021-05-21,80100,0.75,4,2,6.0,1.0
2021-05-20,79500,-0.13,9,4,8.0,2.0
2021-05-19,79600,0.0,0,0,6.0,4.0
2021-05-18,79600,0.0,4,3,6.0,0.0
2021-05-17,79600,-0.62,5,2,6.0,5.0
2021-05-16,80100,0.0,0,0,1.0,0.0
2021-05-14,80100,2.04,8,11,4.0,2.0
2021-05-13,78500,-1.88,10,6,7.0,7.0
2021-05-12,80000,-1.48,23,10,9.0,7.0
2021-05-11,81200,-2.4,8,4,9.0,4.0
2021-05-10,83200,1.59,4,1,7.0,5.0
2021-05-09,81900,0.0,0,0,1.0,4.0
2021-05-07,81900,-0.49,2,1,3.0,4.0
2021-05-06,82300,-0.36,2,3,3.0,8.0
2021-05-05,82600,0.0,0,0,1.0,5.0
2021-05-04,82600,1.1,8,3,1.0,1.0
2021-05-03,81700,0.25,4,1,13.0,2.0
2021-05-02,81500,0.0,0,0,8.0,3.0
2021-04-30,81500,-0.24,10,5,10.0,2.0
2021-04-29,81700,-0.49,6,1,12.0,5.0
2021-04-28,82100,-0.97,4,6,7.0,5.0
2021-04-27,82900,-0.72,5,5,9.0,3.0
2021-04-26,83500,0.85,6,1,6.0,2.0
2021-04-25,82800,0.0,0,0,8.0,1.0
2021-04-23,82800,0.49,6,4,3.0,4.0
2021-04-22,82400,-0.24,6,5,10.0,0.0
2021-04-21,82600,-1.55,5,6,8.0,1.0
2021-04-20,83900,0.72,4,2,7.0,1.0
