date,up_count,down_count
2021-10-31,0,0
2021-10-30,0,0
2021-10-29,1,3
2021-10-28,7,0
2021-10-27,1,2
2021-10-26,0,1
2021-10-25,5,6
2021-10-24,0,0
2021-10-23,0,0
2021-10-22,4,2
2021-10-21,5,2
2021-10-20,3,2
2021-10-19,7,2
2021-10-18,3,3
2021-10-17,0,0
2021-10-16,0,0
2021-10-15,4,2
2021-10-14,9,16
2021-10-13,7,3
2021-10-12,12,16
2021-10-11,1,1
2021-10-10,0,0
2021-10-09,0,0
2021-10-08,7,2
2021-10-07,1,8
2021-10-06,8,8
2021-10-05,5,12
2021-10-04,2,2
2021-10-03,0,0
2021-10-02,0,0
2021-10-01,1,3
2021-09-30,1,2
2021-09-29,9,6
2021-09-28,1,3
2021-09-27,5,1
2021-09-26,0,0
2021-09-25,0,0
2021-09-24,8,2
2021-09-23,13,3
2021-09-22,0,0
2021-09-21,0,0
2021-09-20,0,0
2021-09-19,0,0
2021-09-18,0,0
2021-09-17,3,1
2021-09-16,3,0
2021-09-15,3,2
2021-09-14,0,0
2021-09-13,2,1
2021-09-12,0,0
2021-09-11,0,0
2021-09-10,2,3
2021-09-09,3,2
2021-09-08,1,1
2021-09-07,8,4
2021-09-06,0,2
2021-09-05,0,0
2021-09-04,0,0
2021-09-03,4,3
2021-09-02,4,3
2021-09-01,6,2
2021-08-31,5,1
2021-08-30,12,4
2021-08-29,0,0
2021-08-28,0,0
2021-08-27,6,3
2021-08-26,4,4
2021-08-25,11,4
2021-08-24,13,4
2021-08-23,7,3
2021-08-22,0,0
2021-08-21,0,0
2021-08-20,4,7
2021-08-19,6,8
2021-08-18,11,5
2021-08-17,9,13
2021-08-16,2,6
2021-08-15,0,0
2021-08-14,0,0
2021-08-13,24,18
2021-08-12,7,11
2021-08-11,7,2
2021-08-10,6,4
2021-08-09,3,2
2021-08-08,0,0
2021-08-07,0,0
2021-08-06,5,3
2021-08-05,7,0
2021-08-04,10,3
2021-08-03,7,0
2021-08-02,7,0
2021-08-01,0,0
2021-07-31,0,0
2021-07-30,3,4
2021-07-29,4,0
2021-07-28,5,4
2021-07-27,3,1
2021-07-26,1,2
2021-07-25,0,0
2021-07-24,0,0
2021-07-23,1,0
2021-07-22,2,4
2021-07-21,1,5
2021-07-20,1,3
2021-07-19,2,0
2021-07-18,0,0
2021-07-17,0,0
2021-07-16,1,1
2021-07-15,1,1
2021-07-14,1,1
2021-07-13,6,0
2021-07-12,2,0
2021-07-11,0,0
2021-07-10,0,0
2021-07-09,9,3
2021-07-08,9,3
2021-07-07,7,2
2021-07-06,5,0
2021-07-05,3,1
2021-07-04,0,0
2021-07-03,0,0
2021-07-02,2,4
2021-07-01,7,3
2021-06-30,5,0
2021-06-29,0,1
2021-06-28,9,1
2021-06-27,0,0
2021-06-26,0,0
2021-06-25,0,1
2021-06-24,5,2
2021-06-23,1,1
2021-06-22,2,1
2021-06-21,3,5
2021-06-20,0,0
2021-06-19,0,0
2021-06-18,3,3
2021-06-17,2,1
2021-06-16,7,0
2021-06-15,4,1
2021-06-14,6,1
2021-06-13,0,0
2021-06-12,0,1
2021-06-11,8,3
2021-06-10,2,1
2021-06-09,2,1
