date,samsung_price,samsung_change,up_count,down_count,title
2021-10-31,69800,0.00%,0,0,
2021-10-29,69800,-1.27%,1,3,
2021-10-28,70700,0.86%,7,0,"삼성전자, 국내 최대 20㎏ 용량 비스포크 그랑데 건조기 AI 선봬"
2021-10-28,70700,0.86%,7,0,"SK매직, '삼성전자'와 가전 렌탈서비스 전국 SKT 매장 확대 판매,"
2021-10-28,70700,0.86%,7,0,"SKT, 삼성전자와 손잡고 생활 가전 '렌탈 구독 서비스' 시행"
2021-10-28,70700,0.86%,7,0,"삼성전자, 20kg 용량 건조기 ‘비스포크 그랑데 AI’ 신제품 출시...에너지 효율 1등급"
2021-10-28,70700,0.86%,7,0,"SK텔레콤, 삼성전자 가전 렌탈로 ‘T우주’ 넓힌다"
2021-10-28,70700,0.86%,7,0,"삼성전자, 2021년 3분기 실적 발표"
2021-10-28,70700,0.86%,7,0,"SK텔레콤, 삼성전자 가전 렌탈로 ‘T우주’ 넓힌다"
2021-10-28,70700,0.86%,7,0,"삼성전자, 국내 최대 20kg 용량 건조기 ‘비스포크 그랑데 AI’ 신제품 출시"
2021-10-28,70700,0.86%,7,0,"삼성전자서비스, '2021 콜센터품질지수' 전 부문 최고 등급 평가...비대면 서비스 강화"
2021-10-27,70100,-1.41%,1,2,"삼성전자, ‘삼성 개발자 콘퍼런스 2021’ 개최"
2021-10-27,70100,-1.41%,1,2,"삼성전자, 거대한 한걸음 함께 내디뎌요"
2021-10-27,70100,-1.41%,1,2,"삼성전자, ‘2021 스마트비즈엑스포’ 개최"
2021-10-27,70100,-1.41%,1,2,"삼성전자, 거대한 한걸음 함께 내디뎌요"
2021-10-27,70100,-1.41%,1,2,"삼성전자, 더 프레임으로 옐로우코너 작품 담는다...프랑스 내 주요 갤러리 전시·판매"
2021-10-27,70100,-1.41%,1,2,"[삼성전자] 제가 가진 능력, 100% 활용 중이신가요?"
2021-10-27,70100,-1.41%,1,2,"중기부‧중기중앙회‧삼성전자, 26~29일 스마트비즈엑스포 개최 중"
2021-10-26,71100,1.28%,0,1,"삼성전자서비스, 정보보호관리체계 인증 획득"
2021-10-26,71100,1.28%,0,1,"삼성전자서비스, 권위있는 국가공인 정보보호관리체계(ISMS) 인증 획득"
2021-10-25,70200,-0.28%,5,6,"[혁신경영] 삼성전자, 불확실성 확대에도 R&D·시설투자 확대"
2021-10-24,70400,0.00%,0,0,
2021-10-22,70400,0.28%,4,2,
2021-10-21,70200,-0.14%,5,2,"삼성전자, 브랜드 가치 2013년 이래 최고 성장률 기록"
2021-10-21,70200,-0.14%,5,2,"삼성전자, ‘갤럭시 Z 플립 3 비스포크 에디션’ 공개"
2021-10-21,70200,-0.14%,5,2,"삼성전자, 고장 여부 자가 진단·관리 '홈케어 매니저' 선봬"
2021-10-21,70200,-0.14%,5,2,"삼성전자, 갤럭시 워치4·버즈2 메종키츠네 에디션 공개"
2021-10-21,70200,-0.14%,5,2,"삼성전자, 버려지던 TV 박스에 새 생명 불어넣는 ‘에코 패키지 챌린지’ 진행"
