"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 08월 31일","76,700","74,800","76,700","74,300","16.70K","2.82%"
"2021년 08월 30일","74,600","75,400","75,400","74,200","4.29K","0.40%"
"2021년 08월 29일","74,300","74,300","74,300","74,300","-","0.00%"
"2021년 08월 27일","74,300","74,300","75,000","73,800","15.06M","-0.40%"
"2021년 08월 26일","74,600","76,100","76,200","74,600","4.67K","-1.45%"
"2021년 08월 25일","75,700","76,200","76,500","74,900","2.00K","0.13%"
"2021년 08월 24일","75,600","73,900","75,700","73,900","0.37K","3.14%"
"2021년 08월 23일","73,300","73,300","74,000","73,000","19.30M","0.83%"
"2021년 08월 22일","72,700","72,700","72,700","72,700","-","0.00%"
"2021년 08월 20일","72,700","73,500","73,900","72,500","22.12M","-0.55%"
"2021년 08월 19일","73,100","73,500","74,400","73,100","18.14K","-1.08%"
"2021년 08월 18일","73,900","73,900","74,600","73,100","28.93M","-0.40%"
"2021년 08월 17일","74,200","74,300","75,100","74,000","7.44K","-0.27%"
"2021년 08월 16일","74,400","74,400","74,400","74,400","-","0.00%"
"2021년 08월 13일","74,400","75,800","76,000","74,100","60.80M","-3.38%"
"2021년 08월 12일","77,000","77,300","78,200","76,900","57.26K","-1.91%"
"2021년 08월 11일","78,500","79,600","79,800","78,500","29.83M","-2.12%"
"2021년 08월 10일","80,200","82,300","82,300","80,100","13.75K","-1.60%"
"2021년 08월 09일","81,500","81,500","82,300","80,900","15.37M","0.00%"
"2021년 08월 08일","81,500","81,500","81,500","81,500","-","0.00%"
"2021년 08월 06일","81,500","81,900","82,500","81,300","13.28M","-0.73%"
"2021년 08월 05일","82,100","83,200","83,300","82,000","2.46K","-0.97%"
"2021년 08월 04일","82,900","82,100","83,100","81,800","25.81K","1.84%"
"2021년 08월 03일","81,400","79,400","81,400","79,300","1.46K","2.65%"
"2021년 08월 02일","79,300","79,100","79,500","78,700","1.55K","1.02%"
"2021년 08월 01일","78,500","78,500","78,500","78,500","-","0.00%"
"2021년 07월 30일","78,500","78,900","78,900","78,500","13.12M","-0.63%"
"2021년 07월 29일","79,000","78,900","79,300","78,800","3.62K","-0.25%"
"2021년 07월 28일","79,200","78,200","79,200","78,100","9.00K","0.89%"
"2021년 07월 27일","78,500","79,100","79,300","78,500","4.44K","-0.38%"
"2021년 07월 26일","78,800","79,400","79,500","78,800","1.25K","-0.63%"
"2021년 07월 25일","79,300","79,300","79,300","79,300","-","0.00%"
"2021년 07월 23일","79,300","79,700","79,900","79,200","8.98M","-0.50%"
"2021년 07월 22일","79,700","79,000","79,800","78,900","11.63K","1.53%"
"2021년 07월 21일","78,500","79,000","79,100","78,500","0.17K","-0.63%"
"2021년 07월 20일","79,000","78,600","79,000","78,400","0.55K","0.00%"
"2021년 07월 19일","79,000","79,200","79,200","78,800","2.48K","-1.00%"
"2021년 07월 18일","79,800","79,800","79,800","79,800","-","0.00%"
"2021년 07월 16일","79,800","80,100","80,100","79,500","10.78M","-0.99%"
"2021년 07월 15일","80,600","79,800","80,600","79,500","0.70K","1.38%"
"2021년 07월 14일","79,500","79,400","79,600","79,100","11.41M","-0.38%"
"2021년 07월 13일","79,800","79,900","80,200","79,800","8.22K","0.13%"
"2021년 07월 12일","79,700","79,900","80,000","79,500","0.77K","0.38%"
"2021년 07월 11일","79,400","79,400","79,400","79,400","-","0.00%"
"2021년 07월 09일","79,400","79,600","79,800","79,000","22.41M","-0.63%"
"2021년 07월 08일","79,900","81,100","81,100","79,900","6.82K","-1.11%"
"2021년 07월 07일","80,800","81,300","81,300","80,300","9.41K","-0.49%"
"2021년 07월 06일","81,200","80,500","81,200","80,500","22.57K","1.00%"
"2021년 07월 05일","80,400","80,200","80,800","80,000","0.76K","0.50%"
"2021년 07월 04일","80,000","80,000","80,000","80,000","-","0.00%"
"2021년 07월 02일","80,000","80,000","80,400","79,900","8.18M","-0.12%"
"2021년 07월 01일","80,100","80,600","80,600","80,000","13.59K","-0.74%"
