"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 29일","11,050","11,200","11,300","10,950","1.93M","-0.90%"
"2021년 10월 28일","11,150","11,350","11,450","11,100","1.87K","-2.19%"
"2021년 10월 27일","11,400","11,550","11,550","11,300","0.06K","-0.87%"
"2021년 10월 26일","11,500","11,600","11,600","11,400","0.15K","0.00%"
"2021년 10월 25일","11,500","11,350","11,500","11,200","1.19K","2.22%"
"2021년 10월 24일","11,250","11,250","11,250","11,250","-","0.00%"
"2021년 10월 22일","11,250","11,250","11,400","11,150","1.61M","0.00%"
"2021년 10월 21일","11,250","11,150","11,300","11,100","0.05K","1.35%"
"2021년 10월 20일","11,100","11,000","11,150","10,950","2.63M","1.37%"
"2021년 10월 19일","10,950","10,900","10,950","10,850","1.31M","0.46%"
"2021년 10월 18일","10,900","10,850","10,900","10,750","0.19K","0.93%"
"2021년 10월 17일","10,800","10,800","10,800","10,800","-","0.00%"
"2021년 10월 15일","10,800","10,650","10,850","10,650","1.68M","1.41%"
"2021년 10월 14일","10,650","10,750","10,750","10,600","995.96K","-0.47%"
"2021년 10월 13일","10,700","10,650","10,700","10,600","962.28K","0.47%"
"2021년 10월 12일","10,650","10,600","10,700","10,450","0.00K","0.47%"
"2021년 10월 11일","10,600","10,600","10,600","10,600","-","0.00%"
"2021년 10월 08일","10,600","10,650","10,700","10,500","1.36M","-0.93%"
"2021년 10월 07일","10,700","10,600","10,700","10,550","0.10K","1.42%"
"2021년 10월 06일","10,550","10,550","10,650","10,500","2.24M","0.48%"
"2021년 10월 05일","10,500","10,400","10,550","10,350","1.90M","0.96%"
"2021년 10월 04일","10,400","10,400","10,400","10,400","-","0.00%"
"2021년 10월 01일","10,400","10,450","10,550","10,350","1.53M","-0.95%"
"2021년 09월 30일","10,500","10,300","10,550","10,300","0.00K","1.94%"
"2021년 09월 29일","10,300","10,400","10,400","10,250","0.80K","-0.96%"
"2021년 09월 28일","10,400","10,250","10,400","10,250","2.69K","1.96%"
"2021년 09월 27일","10,200","10,150","10,250","10,150","624.32K","0.49%"
"2021년 09월 26일","10,150","10,150","10,150","10,150","-","0.00%"
"2021년 09월 24일","10,150","10,150","10,250","10,100","1.58M","0.50%"
"2021년 09월 23일","10,100","10,100","10,200","10,050","1.62M","-0.98%"
"2021년 09월 22일","10,200","10,200","10,200","10,200","-","0.00%"
"2021년 09월 17일","10,200","10,200","10,200","10,100","969.13K","0.49%"
