"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 15일","220,000","224,000","225,000","219,000","416.46K","-0.90%"
"2021년 10월 14일","222,000","217,000","223,000","215,500","0.20K","3.02%"
"2021년 10월 13일","215,500","212,500","218,000","212,000","0.02K","0.47%"
"2021년 10월 12일","214,500","222,500","222,500","213,500","0.32K","-4.24%"
"2021년 10월 11일","224,000","224,000","224,000","224,000","-","0.00%"
"2021년 10월 08일","224,000","215,500","225,000","215,500","984.23K","5.16%"
"2021년 10월 07일","213,000","215,000","219,500","211,500","0.00K","0.47%"
"2021년 10월 06일","212,000","219,500","227,500","212,000","7.82K","-2.75%"
"2021년 10월 05일","218,000","240,000","240,500","216,000","4.38K","-12.10%"
"2021년 10월 04일","248,000","248,000","248,000","248,000","-","0.00%"
"2021년 10월 01일","248,000","258,000","258,500","247,500","1.00M","-4.43%"
"2021년 09월 30일","259,500","260,000","263,000","259,000","0.29K","-0.57%"
"2021년 09월 29일","261,000","259,500","264,500","259,500","0.88K","-0.95%"
"2021년 09월 28일","263,500","265,000","269,000","263,000","0.14K","-1.50%"
"2021년 09월 27일","267,500","272,000","272,500","267,000","504.54K","-2.55%"
"2021년 09월 26일","274,500","274,500","274,500","274,500","-","0.00%"
"2021년 09월 24일","274,500","285,000","285,500","274,000","623.55K","-3.51%"
"2021년 09월 23일","284,500","287,000","291,000","282,500","1.23M","3.27%"
"2021년 09월 22일","275,500","275,500","275,500","275,500","-","0.00%"
"2021년 09월 17일","275,500","271,000","276,000","270,000","574.31K","3.18%"
"2021년 09월 16일","267,000","276,000","276,000","266,500","350.28K","-2.02%"
"2021년 09월 15일","272,500","266,000","275,500","266,000","0.10K","3.61%"
"2021년 09월 14일","263,000","261,500","265,000","260,500","0.64K","0.38%"
"2021년 09월 13일","262,000","266,500","267,000","260,500","0.48K","-2.06%"
"2021년 09월 12일","267,500","267,500","267,500","267,500","-","0.00%"
"2021년 09월 10일","267,500","269,500","271,000","265,500","387.02K","-0.56%"
"2021년 09월 09일","269,000","272,000","275,500","267,000","0.60K","-1.65%"
"2021년 09월 08일","273,500","278,500","280,000","273,000","0.12K","-2.15%"
"2021년 09월 07일","279,500","279,000","282,000","276,000","0.22K","0.36%"
"2021년 09월 06일","278,500","283,000","285,000","276,500","0.07K","-1.59%"
"2021년 09월 05일","283,000","283,000","283,000","283,000","-","0.00%"
"2021년 09월 03일","283,000","289,000","290,500","283,000","435.61K","-1.74%"
"2021년 09월 02일","288,000","288,500","292,000","286,500","0.05K","-0.86%"
"2021년 09월 01일","290,500","293,000","295,000","289,000","0.44K","-0.85%"
"2021년 08월 31일","293,000","292,000","294,000","288,000","0.18K","0.69%"
"2021년 08월 30일","291,000","297,000","300,000","291,000","0.11K","-1.19%"
"2021년 08월 29일","294,500","294,500","294,500","294,500","-","0.00%"
"2021년 08월 27일","294,500","285,000","297,000","282,500","1.19M","3.51%"
"2021년 08월 26일","284,500","282,000","288,500","280,500","0.14K","0.89%"
"2021년 08월 25일","282,000","282,500","282,500","276,000","0.03K","-0.18%"
"2021년 08월 24일","282,500","287,500","288,500","279,500","0.81K","-0.53%"
"2021년 08월 23일","284,000","269,000","286,500","269,000","1.35M","6.77%"
"2021년 08월 22일","266,000","266,000","266,000","266,000","-","0.00%"
"2021년 08월 20일","266,000","273,500","276,500","265,000","639.44K","-1.85%"
"2021년 08월 19일","271,000","271,500","279,500","270,000","0.95K","-1.09%"
"2021년 08월 18일","274,000","275,000","277,000","270,000","414.04K","0.00%"
"2021년 08월 17일","274,000","274,500","283,000","271,000","0.21K","-0.54%"
"2021년 08월 16일","275,500","275,500","275,500","275,500","-","0.00%"
"2021년 08월 13일","275,500","284,000","286,500","274,500","778.05K","-2.13%"
"2021년 08월 12일","281,500","288,500","290,500","280,000","1.04K","-0.53%"
"2021년 08월 11일","283,000","272,000","286,000","270,500","1.86M","4.81%"
"2021년 08월 10일","270,000","266,500","272,000","266,000","0.00K","1.50%"
"2021년 08월 09일","266,000","270,500","271,000","265,000","0.02K","-2.03%"
"2021년 08월 08일","271,500","271,500","271,500","271,500","-","0.00%"
"2021년 08월 06일","271,500","271,000","273,000","267,500","328.10K","0.93%"
"2021년 08월 05일","269,000","270,500","275,000","268,500","0.00K","-0.19%"
"2021년 08월 04일","269,500","264,500","272,500","264,500","0.12K","1.70%"
"2021년 08월 03일","265,000","264,000","265,000","260,500","0.01K","0.57%"
"2021년 08월 02일","263,500","255,500","264,000","255,500","0.16K","3.94%"
"2021년 08월 01일","253,500","253,500","253,500","253,500","-","0.00%"
"2021년 07월 30일","253,500","261,500","262,000","253,500","618.73K","-3.06%"
"2021년 07월 29일","261,500","261,500","263,500","261,000","229.80K","0.00%"
"2021년 07월 28일","261,500","263,500","264,500","260,500","0.04K","-0.76%"
"2021년 07월 27일","263,500","266,500","269,000","262,500","0.82K","-0.19%"
"2021년 07월 26일","264,000","269,500","270,000","264,000","0.03K","-1.68%"
"2021년 07월 25일","268,500","268,500","268,500","268,500","-","0.00%"
"2021년 07월 23일","268,500","269,000","271,500","268,000","242.88K","-0.37%"
"2021년 07월 22일","269,500","269,500","270,000","266,500","293.51K","0.75%"
"2021년 07월 21일","267,500","275,500","276,000","267,500","0.00K","-2.01%"
"2021년 07월 20일","273,000","266,500","275,500","266,500","0.01K","3.80%"
"2021년 07월 19일","263,000","271,500","272,000","263,000","1.52K","-2.23%"
"2021년 07월 18일","269,000","269,000","269,000","269,000","-","0.00%"
"2021년 07월 16일","269,000","264,500","272,000","262,500","561.14K","0.94%"
"2021년 07월 15일","266,500","262,000","270,000","262,000","0.72K","2.11%"
"2021년 07월 14일","261,000","263,000","264,000","260,000","0.39K","-0.76%"
"2021년 07월 13일","263,000","265,500","267,500","262,500","0.11K","0.19%"
"2021년 07월 12일","262,500","265,500","267,500","262,500","0.19K","0.19%"
"2021년 07월 11일","262,000","262,000","262,000","262,000","-","0.00%"
"2021년 07월 09일","262,000","264,000","265,500","258,000","638.30K","-1.50%"
"2021년 07월 08일","266,000","268,500","269,500","266,000","0.28K","-0.19%"
"2021년 07월 07일","266,500","267,500","269,000","266,000","0.27K","-0.19%"
"2021년 07월 06일","267,000","272,000","272,000","267,000","0.20K","-2.20%"
"2021년 07월 05일","273,000","267,000","276,500","267,000","0.24K","2.63%"
"2021년 07월 04일","266,000","266,000","266,000","266,000","-","0.00%"
"2021년 07월 02일","266,000","267,500","267,500","264,500","347.12K","-0.56%"
"2021년 07월 01일","267,500","269,500","270,000","265,000","0.01K","-0.37%"
"2021년 06월 30일","268,500","265,500","271,000","265,000","0.02K","1.32%"
"2021년 06월 29일","265,000","265,500","268,000","263,500","0.18K","-0.38%"
"2021년 06월 28일","266,000","268,500","271,000","265,500","0.04K","0.19%"
"2021년 06월 27일","265,500","265,500","265,500","265,500","-","0.00%"
"2021년 06월 25일","265,500","279,500","281,000","261,000","1.09M","-4.67%"
"2021년 06월 24일","278,500","282,500","284,000","275,500","0.00K","-1.07%"
"2021년 06월 23일","281,500","275,000","284,000","274,500","0.81K","2.74%"
"2021년 06월 22일","274,000","280,000","280,500","273,500","0.01K","-2.32%"
"2021년 06월 21일","280,500","270,000","281,500","268,500","999.46K","3.89%"
"2021년 06월 20일","270,000","270,000","270,000","270,000","-","0.00%"
"2021년 06월 18일","270,000","269,000","272,000","269,000","469.99K","0.37%"
"2021년 06월 17일","269,000","270,000","272,000","268,500","0.55K","-0.92%"
"2021년 06월 16일","271,500","274,500","274,500","270,000","0.20K","-1.27%"
"2021년 06월 15일","275,000","281,000","281,000","275,000","0.73K","-2.14%"
"2021년 06월 14일","281,000","272,500","281,500","269,500","0.07K","5.84%"
"2021년 06월 13일","265,500","265,500","265,500","265,500","-","0.00%"
"2021년 06월 11일","265,500","267,000","271,500","264,500","485.40K","0.00%"
"2021년 06월 10일","265,500","263,500","267,000","261,000","0.59K","1.53%"
"2021년 06월 09일","261,500","270,500","271,000","261,500","0.25K","-2.79%"
"2021년 06월 08일","269,000","265,000","271,000","265,000","0.01K","1.70%"
"2021년 06월 07일","264,500","268,000","269,500","263,500","0.03K","-0.94%"
