date,bank_price,bank_change,celltrion_price,celltrion_change,naver_price,naver_change,samsung_price,samsung_change
2021-10-29,11050,-0.90%,200500,-6.96%,407000,-1.45%,69800,-1.27%
2021-10-28,11150,-2.19%,215500,-1.60%,413000,-0.36%,70700,0.86%
2021-10-27,11400,-0.87%,219000,-1.57%,414500,0.48%,70100,-1.41%
2021-10-26,11500,0.00%,222500,2.77%,412500,2.48%,71100,1.28%
2021-10-25,11500,2.22%,216500,-1.37%,402500,-1.23%,70200,-0.28%
2021-10-24,11250,0.00%,219500,0.00%,407500,0.00%,70400,0.00%
2021-10-22,11250,0.00%,219500,0.92%,407500,-0.73%,70400,0.28%
2021-10-21,11250,1.35%,217500,-0.68%,410500,0.74%,70200,-0.14%
2021-10-20,11100,1.37%,219000,0.46%,407500,0.00%,70300,-0.42%
2021-10-19,10950,0.46%,218000,0.69%,407500,2.77%,70600,0.57%
2021-10-18,10900,0.93%,216500,-1.59%,396500,0.76%,70200,0.14%
2021-10-17,10800,0.00%,220000,0.00%,393500,0.00%,70100,0.00%
2021-10-15,10800,1.41%,220000,-0.90%,393500,-0.38%,70100,1.01%
2021-10-14,10650,-0.47%,222000,3.02%,395000,3.40%,69400,0.87%
2021-10-13,10700,0.47%,215500,0.47%,382000,2.69%,68800,-0.29%
2021-10-12,10650,0.47%,214500,-4.24%,372000,-4.25%,69000,-3.50%
2021-10-11,10600,0.00%,224000,0.00%,388500,0.00%,71500,0.00%
2021-10-08,10600,-0.93%,224000,5.16%,388500,-1.27%,71500,-0.14%
2021-10-07,10700,1.42%,213000,0.47%,393500,5.50%,71600,0.42%
2021-10-06,10550,0.48%,212000,-2.75%,373000,0.67%,71300,-1.25%
2021-10-05,10500,0.96%,218000,-12.10%,370500,-3.01%,72200,-1.37%
2021-10-04,10400,0.00%,248000,0.00%,382000,0.00%,73200,0.00%
2021-10-01,10400,-0.95%,248000,-4.43%,382000,-1.55%,73200,-1.21%
2021-09-30,10500,1.94%,259500,-0.57%,388000,0.26%,74100,0.00%
2021-09-29,10300,-0.96%,261000,-0.95%,387000,-1.40%,74100,-2.88%
2021-09-28,10400,1.96%,263500,-1.50%,392500,-2.61%,76300,-1.80%
2021-09-27,10200,0.49%,267500,-2.55%,403000,-0.62%,77700,0.52%
2021-09-26,10150,0.00%,274500,0.00%,405500,0.00%,77300,0.00%
2021-09-24,10150,0.50%,274500,-3.51%,405500,1.38%,77300,-0.13%
2021-09-23,10100,-0.98%,284500,3.27%,400000,-0.74%,77400,0.26%
2021-09-22,10200,0.00%,275500,0.00%,403000,0.00%,77200,0.00%
2021-09-17,10200,0.49%,275500,3.18%,403000,0.25%,77200,1.45%
2021-09-16,10150,-0.98%,267000,-2.02%,402000,0.37%,76100,-1.17%
