"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 15일","393,500","400,000","400,000","392,000","443.19K","-0.38%"
"2021년 10월 14일","395,000","387,000","396,000","386,500","0.01K","3.40%"
"2021년 10월 13일","382,000","372,500","383,000","372,000","0.03K","2.69%"
"2021년 10월 12일","372,000","384,000","386,500","372,000","0.05K","-4.25%"
"2021년 10월 11일","388,500","388,500","388,500","388,500","-","0.00%"
"2021년 10월 08일","388,500","397,500","397,500","388,000","534.51K","-1.27%"
"2021년 10월 07일","393,500","380,500","394,000","378,000","0.05K","5.50%"
"2021년 10월 06일","373,000","373,500","383,500","371,500","0.11K","0.67%"
"2021년 10월 05일","370,500","378,500","379,500","370,000","0.01K","-3.01%"
"2021년 10월 04일","382,000","382,000","382,000","382,000","-","0.00%"
"2021년 10월 01일","382,000","388,500","389,500","381,500","391.94K","-1.55%"
"2021년 09월 30일","388,000","383,500","390,000","381,500","0.06K","0.26%"
"2021년 09월 29일","387,000","381,000","390,000","380,500","0.33K","-1.40%"
"2021년 09월 28일","392,500","399,500","400,000","391,000","0.07K","-2.61%"
"2021년 09월 27일","403,000","406,000","407,500","401,000","454.49K","-0.62%"
"2021년 09월 26일","405,500","405,500","405,500","405,500","-","0.00%"
"2021년 09월 24일","405,500","398,500","406,000","398,000","572.57K","1.38%"
"2021년 09월 23일","400,000","400,500","401,500","397,500","0.05K","-0.74%"
"2021년 09월 22일","403,000","403,000","403,000","403,000","-","0.00%"
"2021년 09월 17일","403,000","404,500","405,000","397,500","544.85K","0.25%"
"2021년 09월 16일","402,000","405,000","410,000","401,000","613.43K","0.37%"
"2021년 09월 15일","400,500","402,500","409,500","400,000","0.05K","-0.50%"
"2021년 09월 14일","402,500","404,000","406,000","393,500","0.89K","-1.35%"
"2021년 09월 13일","408,000","405,000","414,000","403,000","0.44K","-0.49%"
"2021년 09월 12일","410,000","410,000","410,000","410,000","-","0.00%"
"2021년 09월 10일","410,000","398,000","416,500","398,000","1.32M","2.76%"
"2021년 09월 09일","399,000","401,000","405,500","396,000","1.14K","-2.56%"
"2021년 09월 08일","409,500","437,500","439,000","408,000","0.93K","-7.87%"
"2021년 09월 07일","444,500","450,500","453,000","444,000","0.15K","-2.09%"
"2021년 09월 06일","454,000","452,500","454,000","445,500","0.06K","0.33%"
"2021년 09월 05일","452,500","452,500","452,500","452,500","-","0.00%"
"2021년 09월 03일","452,500","442,500","452,500","441,000","644.05K","2.26%"
"2021년 09월 02일","442,500","445,500","448,000","439,500","0.05K","-0.56%"
"2021년 09월 01일","445,000","442,500","448,500","437,000","0.01K","1.37%"
"2021년 08월 31일","439,000","430,000","439,500","427,000","0.12K","2.57%"
"2021년 08월 30일","428,000","425,000","429,000","423,000","0.00K","1.90%"
"2021년 08월 29일","420,000","420,000","420,000","420,000","-","0.00%"
"2021년 08월 27일","420,000","422,000","423,500","416,500","553.60K","-0.83%"
"2021년 08월 26일","423,500","427,000","430,500","420,000","0.05K","-1.63%"
"2021년 08월 25일","430,500","434,500","439,000","427,000","0.00K","-1.60%"
"2021년 08월 24일","437,500","435,000","439,000","431,500","0.03K","1.86%"
"2021년 08월 23일","429,500","428,000","436,000","423,500","514.97K","1.66%"
"2021년 08월 22일","422,500","422,500","422,500","422,500","-","0.00%"
"2021년 08월 20일","422,500","425,000","432,000","421,000","586.39K","-0.47%"
"2021년 08월 19일","424,500","430,500","434,000","424,500","0.20K","-1.05%"
"2021년 08월 18일","429,000","429,500","433,500","421,500","462.36K","0.12%"
"2021년 08월 17일","428,500","435,500","436,500","420,000","0.05K","-1.83%"
"2021년 08월 16일","436,500","436,500","436,500","436,500","-","0.00%"
"2021년 08월 13일","436,500","445,000","446,000","433,000","479.20K","-0.91%"
"2021년 08월 12일","440,500","448,000","448,000","438,000","0.08K","-1.01%"
"2021년 08월 11일","445,000","445,000","449,000","442,000","445.40K","-0.34%"
"2021년 08월 10일","446,500","445,500","453,000","442,500","0.07K","-0.22%"
"2021년 08월 09일","447,500","438,000","449,000","435,500","0.02K","0.67%"
"2021년 08월 08일","444,500","444,500","444,500","444,500","-","0.00%"
"2021년 08월 06일","444,500","443,000","447,500","440,500","415.29K","0.45%"
"2021년 08월 05일","442,500","441,500","451,500","439,000","0.31K","2.19%"
"2021년 08월 04일","433,000","425,000","434,500","423,500","0.02K","1.17%"
"2021년 08월 03일","428,000","438,000","438,000","422,000","0.16K","-1.27%"
"2021년 08월 02일","433,500","430,000","436,500","429,000","0.30K","0.00%"
"2021년 08월 01일","433,500","433,500","433,500","433,500","-","0.00%"
"2021년 07월 30일","433,500","438,000","440,500","433,000","620.15K","-1.37%"
"2021년 07월 29일","439,500","444,500","445,000","438,500","1.39K","-0.57%"
"2021년 07월 28일","442,000","446,500","447,000","440,000","0.53K","-2.21%"
"2021년 07월 27일","452,000","457,500","463,000","452,000","0.02K","0.00%"
"2021년 07월 26일","452,000","460,000","465,000","447,500","0.57K","0.00%"
"2021년 07월 25일","452,000","452,000","452,000","452,000","-","0.00%"
"2021년 07월 23일","452,000","443,500","454,500","441,000","1.06M","2.73%"
"2021년 07월 22일","440,000","433,000","445,000","429,000","0.62K","2.80%"
"2021년 07월 21일","428,000","443,000","445,500","428,000","0.17K","-2.51%"
"2021년 07월 20일","439,000","438,500","441,500","431,000","786.75K","-0.90%"
"2021년 07월 19일","443,000","442,000","449,500","439,000","0.09K","-0.89%"
"2021년 07월 18일","447,000","447,000","447,000","447,000","-","0.00%"
"2021년 07월 16일","447,000","448,000","461,000","443,000","1.24M","-0.45%"
"2021년 07월 15일","449,000","446,500","451,500","440,000","0.48K","1.13%"
"2021년 07월 14일","444,000","436,500","444,500","436,500","0.22K","0.68%"
"2021년 07월 13일","441,000","421,000","441,500","419,000","2.42K","5.38%"
"2021년 07월 12일","418,500","418,500","421,500","413,000","473.47K","0.72%"
"2021년 07월 11일","415,500","415,500","415,500","415,500","-","0.00%"
"2021년 07월 09일","415,500","420,000","424,000","408,000","1.09M","-1.54%"
"2021년 07월 08일","422,000","419,000","431,500","418,500","0.11K","1.08%"
"2021년 07월 07일","417,500","411,000","419,000","411,000","0.05K","1.95%"
"2021년 07월 06일","409,500","412,000","412,500","408,000","0.01K","-0.12%"
"2021년 07월 05일","410,000","415,500","418,000","408,500","0.06K","-0.97%"
"2021년 07월 04일","414,000","414,000","414,000","414,000","-","0.00%"
"2021년 07월 02일","414,000","412,500","418,500","407,000","515.44K","0.24%"
"2021년 07월 01일","413,000","418,500","423,500","410,500","0.61K","-1.08%"
"2021년 06월 30일","417,500","413,500","425,000","409,000","0.02K","1.46%"
"2021년 06월 29일","411,500","409,500","411,500","406,000","0.11K","0.86%"
"2021년 06월 28일","408,000","406,500","413,000","403,000","0.25K","-0.49%"
"2021년 06월 27일","410,000","410,000","410,000","410,000","-","0.00%"
"2021년 06월 25일","410,000","420,000","420,000","405,000","1.38M","-2.26%"
"2021년 06월 24일","419,500","430,000","436,000","413,500","0.10K","-0.94%"
"2021년 06월 23일","423,500","392,500","427,000","392,500","0.01K","8.31%"
"2021년 06월 22일","391,000","400,500","400,500","391,000","0.02K","-1.51%"
"2021년 06월 21일","397,000","398,000","402,000","392,000","806.61K","-0.25%"
"2021년 06월 20일","398,000","398,000","398,000","398,000","-","0.00%"
"2021년 06월 18일","398,000","391,500","400,500","391,000","1.23M","2.18%"
"2021년 06월 17일","389,500","389,000","394,500","385,000","0.20K","-0.38%"
"2021년 06월 16일","391,000","384,500","395,000","383,000","0.48K","1.03%"
"2021년 06월 15일","387,000","387,000","389,000","381,500","623.25K","0.00%"
"2021년 06월 14일","387,000","377,500","388,000","375,500","0.17K","3.89%"
"2021년 06월 13일","372,500","372,500","372,500","372,500","-","0.00%"
"2021년 06월 11일","372,500","378,000","378,500","367,500","654.81K","-0.27%"
"2021년 06월 10일","373,500","365,000","377,000","362,500","0.09K","4.18%"
"2021년 06월 09일","358,500","361,000","363,500","358,500","0.07K","-1.10%"
"2021년 06월 08일","362,500","362,000","365,500","361,500","0.03K","0.00%"
"2021년 06월 07일","362,500","358,500","364,000","357,000","0.08K","1.54%"
"2021년 06월 06일","357,000","357,000","357,000","357,000","-","0.00%"
"2021년 06월 04일","357,000","360,500","360,500","355,000","431.95K","-1.38%"
"2021년 06월 03일","362,000","363,000","365,000","361,000","0.04K","-0.28%"
"2021년 06월 02일","363,000","367,000","369,000","362,000","0.01K","-1.09%"
"2021년 06월 01일","367,000","362,500","368,500","362,500","0.01K","1.24%"
"2021년 05월 31일","362,500","359,500","364,000","357,000","396.27K","1.26%"
"2021년 05월 30일","358,000","358,000","358,000","358,000","-","0.00%"
"2021년 05월 28일","358,000","361,500","361,500","355,500","437.51K","0.00%"
"2021년 05월 27일","358,000","363,000","363,000","353,500","0.10K","-1.38%"
"2021년 05월 26일","363,000","360,000","366,500","359,500","0.31K","1.40%"
"2021년 05월 25일","358,000","355,500","358,000","352,500","0.05K","0.70%"
"2021년 05월 24일","355,500","356,000","358,000","353,000","0.14K","-1.25%"
"2021년 05월 23일","360,000","360,000","360,000","360,000","-","0.00%"
"2021년 05월 21일","360,000","355,000","360,000","353,500","615.67K","2.56%"
"2021년 05월 20일","351,000","350,500","355,000","349,000","0.02K","0.43%"
"2021년 05월 19일","349,500","349,500","349,500","349,500","-","0.00%"
"2021년 05월 18일","349,500","347,000","349,500","345,000","443.58K","1.60%"
"2021년 05월 17일","344,000","345,500","349,000","341,000","0.02K","0.44%"
"2021년 05월 16일","342,500","342,500","342,500","342,500","-","0.00%"
"2021년 05월 14일","342,500","338,000","344,500","337,500","458.51K","1.48%"
"2021년 05월 13일","337,500","337,500","341,500","334,500","920.84K","-1.60%"
"2021년 05월 12일","343,000","349,500","350,500","340,500","0.16K","-1.72%"
"2021년 05월 11일","349,000","356,500","357,500","347,500","0.81K","-3.59%"
"2021년 05월 10일","362,000","362,500","363,500","360,000","0.13K","0.28%"
"2021년 05월 09일","361,000","361,000","361,000","361,000","-","0.00%"
"2021년 05월 07일","361,000","360,500","364,000","360,000","444.58K","-0.14%"
"2021년 05월 06일","361,500","360,500","364,500","359,500","607.84K","-0.82%"
"2021년 05월 05일","364,500","364,500","364,500","364,500","-","0.00%"
"2021년 05월 04일","364,500","366,000","367,000","360,500","390.99K","0.41%"
"2021년 05월 03일","363,000","366,000","370,500","360,500","505.60K","0.97%"
"2021년 05월 02일","359,500","359,500","359,500","359,500","-","0.00%"
"2021년 04월 30일","359,500","366,000","366,000","353,500","1.02M","-1.91%"
"2021년 04월 29일","366,500","374,000","377,500","366,000","0.06K","-1.87%"
"2021년 04월 28일","373,500","381,500","381,500","373,000","0.38K","-1.71%"
"2021년 04월 27일","380,000","378,500","381,500","376,500","0.07K","0.66%"
"2021년 04월 26일","377,500","376,500","379,000","374,500","0.15K","-0.13%"
"2021년 04월 25일","378,000","378,000","378,000","378,000","-","0.00%"
"2021년 04월 23일","378,000","377,500","379,500","374,000","502.69K","-0.66%"
"2021년 04월 22일","380,500","382,500","384,000","380,000","0.04K","0.00%"
"2021년 04월 21일","380,500","388,500","388,500","380,500","0.01K","-2.69%"
"2021년 04월 20일","391,000","389,000","391,500","387,500","0.44K","0.26%"
"2021년 04월 19일","390,000","391,500","393,500","389,000","0.01K","-0.38%"
"2021년 04월 18일","391,500","391,500","391,500","391,500","-","0.00%"
"2021년 04월 16일","391,500","394,500","395,000","391,000","421.13K","0.13%"
"2021년 04월 15일","391,000","391,500","398,500","387,000","0.03K","-0.13%"
"2021년 04월 14일","391,500","391,500","398,000","390,000","754.19K","0.77%"
"2021년 04월 13일","388,500","384,000","389,000","382,000","0.01K","0.78%"
"2021년 04월 12일","385,500","384,500","392,500","383,000","0.02K","0.52%"
"2021년 04월 11일","383,500","383,500","383,500","383,500","-","0.00%"
"2021년 04월 09일","383,500","382,000","385,000","381,500","463.51K","0.52%"
"2021년 04월 08일","381,500","384,500","387,000","380,000","623.35K","-0.78%"
"2021년 04월 07일","384,500","390,500","390,500","381,500","0.01K","-1.03%"
"2021년 04월 06일","388,500","378,500","391,000","378,000","0.52K","3.05%"
"2021년 04월 05일","377,000","379,500","380,000","374,500","0.04K","-0.66%"
"2021년 04월 04일","379,500","379,500","379,500","379,500","-","0.00%"
"2021년 04월 02일","379,500","381,500","382,500","378,000","473.84K","0.26%"
"2021년 04월 01일","378,500","375,500","378,500","372,000","0.00K","0.40%"
"2021년 03월 31일","377,000","378,500","379,500","377,000","0.10K","0.13%"
"2021년 03월 30일","376,500","373,500","381,000","373,500","621.62K","1.21%"
"2021년 03월 29일","372,000","384,000","384,000","372,000","0.06K","-2.87%"
"2021년 03월 28일","383,000","383,000","383,000","383,000","-","0.00%"
"2021년 03월 26일","383,000","380,000","383,000","377,000","689.12K","0.79%"
"2021년 03월 25일","380,000","381,500","384,000","378,000","0.20K","-1.81%"
"2021년 03월 24일","387,000","380,500","387,000","376,000","0.17K","0.26%"
"2021년 03월 23일","386,000","397,000","399,000","384,000","0.34K","-2.65%"
"2021년 03월 22일","396,500","403,000","405,000","393,000","0.05K","-1.37%"
"2021년 03월 21일","402,000","402,000","402,000","402,000","-","0.00%"
"2021년 03월 19일","402,000","397,000","407,500","395,000","1.19M","-0.37%"
"2021년 03월 18일","403,500","388,000","410,000","386,500","0.06K","5.22%"
"2021년 03월 17일","383,500","388,000","391,000","380,500","0.34K","-0.52%"
"2021년 03월 16일","385,500","385,000","389,500","384,000","0.00K","0.65%"
"2021년 03월 15일","383,000","382,000","385,500","377,500","605.43K","0.66%"
"2021년 03월 14일","380,500","380,500","380,500","380,500","-","0.00%"
"2021년 03월 12일","380,500","396,000","396,000","378,500","959.24K","1.87%"
"2021년 03월 11일","373,500","373,000","377,000","366,500","0.00K","0.40%"
"2021년 03월 10일","372,000","372,500","378,000","368,000","0.34K","2.90%"
"2021년 03월 09일","361,500","367,000","370,500","350,000","0.00K","-1.90%"
"2021년 03월 08일","368,500","381,500","386,000","366,500","0.45K","-2.38%"
"2021년 03월 07일","377,500","377,500","377,500","377,500","-","0.00%"
"2021년 03월 05일","377,500","386,000","386,500","371,000","1.57M","-3.58%"
"2021년 03월 04일","391,500","392,000","400,500","389,000","0.20K","-2.00%"
"2021년 03월 03일","399,500","378,500","399,500","377,500","0.16K","5.83%"
"2021년 03월 02일","377,500","389,000","390,000","375,500","0.18K","0.67%"
"2021년 03월 01일","375,000","375,000","375,000","375,000","-","0.00%"
"2021년 02월 26일","375,000","372,000","378,500","368,500","1.15M","-2.09%"
"2021년 02월 25일","383,000","380,500","384,500","374,500","0.52K","2.41%"
"2021년 02월 24일","374,000","389,500","391,500","374,000","0.11K","-4.23%"
"2021년 02월 23일","390,500","379,000","394,500","379,000","0.26K","1.03%"
"2021년 02월 22일","386,500","399,500","405,000","384,500","0.03K","-2.89%"
"2021년 02월 21일","398,000","398,000","398,000","398,000","-","0.00%"
"2021년 02월 19일","398,000","387,000","398,500","385,500","1.04M","2.58%"
"2021년 02월 18일","388,000","391,500","400,000","386,500","0.19K","-1.02%"
"2021년 02월 17일","392,000","396,500","396,500","386,000","0.57K","-0.51%"
"2021년 02월 16일","394,000","391,500","405,000","390,000","0.01K","2.20%"
"2021년 02월 15일","385,500","383,500","387,500","379,500","0.01K","5.18%"
"2021년 02월 14일","366,500","366,500","366,500","366,500","-","0.00%"
"2021년 02월 10일","366,500","365,000","368,500","359,000","1.14M","2.23%"
"2021년 02월 09일","358,500","360,000","361,500","355,000","0.04K","0.28%"
"2021년 02월 08일","357,500","362,500","364,500","357,000","0.00K","-1.38%"
"2021년 02월 07일","362,500","362,500","362,500","362,500","-","0.00%"
"2021년 02월 05일","362,500","363,500","371,500","356,500","979.48K","1.26%"
"2021년 02월 04일","358,000","368,000","368,500","356,000","0.04K","-3.37%"
"2021년 02월 03일","370,500","366,500","371,000","361,000","0.10K","2.21%"
"2021년 02월 02일","362,500","357,500","373,000","354,500","0.00K","4.17%"
