date,bank_price,bank_change
2021-10-29,11050,-0.90%
2021-10-28,11150,-2.19%
2021-10-27,11400,-0.87%
2021-10-26,11500,0.00%
2021-10-25,11500,2.22%
2021-10-24,11250,0.00%
2021-10-22,11250,0.00%
2021-10-21,11250,1.35%
2021-10-20,11100,1.37%
2021-10-19,10950,0.46%
2021-10-18,10900,0.93%
2021-10-17,10800,0.00%
2021-10-15,10800,1.41%
2021-10-14,10650,-0.47%
2021-10-13,10700,0.47%
2021-10-12,10650,0.47%
2021-10-11,10600,0.00%
2021-10-08,10600,-0.93%
2021-10-07,10700,1.42%
2021-10-06,10550,0.48%
2021-10-05,10500,0.96%
2021-10-04,10400,0.00%
2021-10-01,10400,-0.95%
2021-09-30,10500,1.94%
2021-09-29,10300,-0.96%
2021-09-28,10400,1.96%
2021-09-27,10200,0.49%
2021-09-26,10150,0.00%
2021-09-24,10150,0.50%
2021-09-23,10100,-0.98%
2021-09-22,10200,0.00%
2021-09-17,10200,0.49%
2021-09-16,10150,-0.98%
2021-09-15,10250,0.00%
2021-09-14,10250,0.00%
2021-09-13,10250,0.49%
2021-09-12,10200,0.00%
2021-09-10,10200,0.99%
2021-09-09,10100,-2.42%
2021-09-08,10350,0.00%
2021-09-07,10350,0.00%
2021-09-06,10350,-0.48%
2021-09-05,10400,0.00%
2021-09-03,10400,0.48%
2021-09-02,10350,-0.96%
2021-09-01,10450,1.46%
2021-08-31,10300,0.00%
2021-08-30,10300,-1.44%
2021-08-29,10450,0.00%
2021-08-27,10450,0.48%
2021-08-26,10400,0.48%
2021-08-25,10350,0.98%
2021-08-24,10250,1.99%
2021-08-23,10050,1.82%
2021-08-22,9870,0.00%
2021-08-20,9870,-1.30%
2021-08-19,10000,-2.44%
2021-08-18,10250,0.00%
2021-08-17,10250,0.00%
2021-08-16,10250,0.00%
2021-08-13,10250,-0.97%
2021-08-12,10350,-0.48%
2021-08-11,10400,1.46%
2021-08-10,10250,-0.97%
2021-08-09,10350,-0.96%
2021-08-06,10450,0.97%
2021-08-05,10350,-0.96%
2021-08-04,10450,1.95%
2021-08-03,10250,0.49%
2021-08-02,10200,-0.97%
2021-08-01,10300,0.00%
2021-07-30,10300,-0.48%
2021-07-29,10350,0.00%
2021-07-28,10350,0.00%
2021-07-27,10350,0.98%
2021-07-26,10250,0.00%
2021-07-23,10250,-0.97%
2021-07-22,10350,1.47%
2021-07-21,10200,0.00%
2021-07-20,10200,-0.97%
2021-07-19,10300,-1.44%
2021-07-18,10450,0.00%
2021-07-16,10450,0.97%
2021-07-15,10350,1.47%
2021-07-14,10200,-1.45%
2021-07-13,10350,0.98%
2021-07-12,10250,1.99%
2021-07-11,10050,0.00%
2021-07-09,10050,-2.43%
2021-07-08,10300,-0.96%
2021-07-07,10400,-0.95%
2021-07-06,10500,0.48%
2021-07-05,10450,0.00%
2021-07-02,10450,0.97%
2021-07-01,10350,-1.43%
2021-06-30,10500,0.00%
2021-06-29,10500,-1.41%
