date,celltrion_price,celltrion_change
2021-10-31,200500,0.00%
2021-10-29,200500,-6.96%
2021-10-28,215500,-1.60%
2021-10-27,219000,-1.57%
2021-10-26,222500,2.77%
2021-10-25,216500,-1.37%
2021-10-24,219500,0.00%
2021-10-22,219500,0.92%
2021-10-21,217500,-0.68%
2021-10-20,219000,0.46%
2021-10-19,218000,0.69%
2021-10-18,216500,-1.59%
2021-10-17,220000,0.00%
2021-10-15,220000,-0.90%
2021-10-14,222000,3.02%
2021-10-13,215500,0.47%
2021-10-12,214500,-4.24%
2021-10-11,224000,0.00%
2021-10-08,224000,5.16%
2021-10-07,213000,0.47%
2021-10-06,212000,-2.75%
2021-10-05,218000,-12.10%
2021-10-04,248000,0.00%
2021-10-01,248000,-4.43%
2021-09-30,259500,-0.57%
2021-09-29,261000,-0.95%
2021-09-28,263500,-1.50%
2021-09-27,267500,-2.55%
2021-09-26,274500,0.00%
2021-09-24,274500,-3.51%
2021-09-23,284500,3.27%
2021-09-22,275500,0.00%
2021-09-17,275500,3.18%
2021-09-16,267000,-2.02%
2021-09-15,272500,3.61%
2021-09-14,263000,0.38%
2021-09-13,262000,-2.06%
2021-09-12,267500,0.00%
2021-09-10,267500,-0.56%
2021-09-09,269000,-1.65%
2021-09-08,273500,-2.15%
2021-09-07,279500,0.36%
2021-09-06,278500,-1.59%
2021-09-05,283000,0.00%
2021-09-03,283000,-1.74%
2021-09-02,288000,-0.86%
2021-09-01,290500,-0.85%
2021-08-31,293000,0.69%
2021-08-30,291000,-1.19%
2021-08-29,294500,0.00%
2021-08-27,294500,3.51%
2021-08-26,284500,0.89%
2021-08-25,282000,-0.18%
2021-08-24,282500,-0.53%
2021-08-23,284000,6.77%
2021-08-22,266000,0.00%
2021-08-20,266000,-1.85%
2021-08-19,271000,-1.09%
2021-08-18,274000,0.00%
2021-08-17,274000,-0.54%
2021-08-16,275500,0.00%
2021-08-13,275500,-2.13%
2021-08-12,281500,-0.53%
2021-08-11,283000,4.81%
2021-08-10,270000,1.50%
2021-08-09,266000,-2.03%
2021-08-08,271500,0.00%
2021-08-06,271500,0.93%
2021-08-05,269000,-0.19%
2021-08-04,269500,1.70%
2021-08-03,265000,0.57%
2021-08-02,263500,3.94%
2021-08-01,253500,0.00%
2021-07-30,253500,-3.06%
2021-07-29,261500,0.00%
2021-07-28,261500,-0.76%
2021-07-27,263500,-0.19%
2021-07-26,264000,-1.68%
2021-07-25,268500,0.00%
2021-07-23,268500,-0.37%
2021-07-22,269500,0.75%
2021-07-21,267500,-2.01%
2021-07-20,273000,3.80%
2021-07-19,263000,-2.23%
2021-07-18,269000,0.00%
2021-07-16,269000,0.94%
2021-07-15,266500,2.11%
2021-07-14,261000,-0.76%
2021-07-13,263000,0.19%
2021-07-12,262500,0.19%
2021-07-11,262000,0.00%
2021-07-09,262000,-1.50%
2021-07-08,266000,-0.19%
2021-07-07,266500,-0.19%
2021-07-06,267000,-2.20%
2021-07-05,273000,2.63%
2021-07-04,266000,0.00%
2021-07-02,266000,-0.56%
2021-07-01,267500,-0.37%
2021-06-30,268500,1.32%
2021-06-29,265000,-0.38%
2021-06-28,266000,0.19%
2021-06-27,265500,0.00%
2021-06-25,265500,-4.67%
2021-06-24,278500,-1.07%
2021-06-23,281500,2.74%
2021-06-22,274000,-2.32%
2021-06-21,280500,3.89%
2021-06-20,270000,0.00%
2021-06-18,270000,0.37%
2021-06-17,269000,-0.92%
2021-06-16,271500,-1.27%
2021-06-15,275000,-2.14%
2021-06-14,281000,5.84%
2021-06-13,265500,0.00%
2021-06-11,265500,0.00%
2021-06-10,265500,1.53%
2021-06-09,261500,-2.79%
2021-06-08,269000,1.70%
2021-06-07,264500,-0.94%
2021-06-06,267000,0.00%
2021-06-04,267000,0.19%
2021-06-03,266500,0.00%
2021-06-02,266500,-2.20%
2021-06-01,272500,-0.73%
2021-05-31,274500,0.37%
2021-05-30,273500,0.00%
2021-05-28,273500,1.67%
2021-05-27,269000,-0.55%
2021-05-26,270500,-0.55%
2021-05-25,272000,3.82%
2021-05-24,262000,-2.42%
2021-05-23,268500,0.00%
2021-05-21,268500,-0.56%
2021-05-20,270000,-0.74%
2021-05-19,272000,0.00%
2021-05-18,272000,0.93%
2021-05-17,269500,-0.37%
2021-05-16,270500,0.00%
2021-05-14,270500,2.08%
2021-05-13,265000,0.95%
2021-05-12,262500,-2.96%
2021-05-11,270500,-1.64%
2021-05-10,275000,3.19%
2021-05-09,266500,0.00%
2021-05-07,266500,5.54%
2021-05-06,252500,-2.88%
2021-05-05,260000,0.00%
2021-05-04,260000,4.21%
2021-05-03,249500,-6.20%
