date,naver_price,naver_change
2021-10-31,407000,0.00%
2021-10-29,407000,-1.45%
2021-10-28,413000,-0.36%
2021-10-27,414500,0.48%
2021-10-26,412500,2.48%
2021-10-25,402500,-1.23%
2021-10-24,407500,0.00%
2021-10-22,407500,-0.73%
2021-10-21,410500,0.74%
2021-10-20,407500,0.00%
2021-10-19,407500,2.77%
2021-10-18,396500,0.76%
2021-10-17,393500,0.00%
2021-10-15,393500,-0.38%
2021-10-14,395000,3.40%
2021-10-13,382000,2.69%
2021-10-12,372000,-4.25%
2021-10-11,388500,0.00%
2021-10-08,388500,-1.27%
2021-10-07,393500,5.50%
2021-10-06,373000,0.67%
2021-10-05,370500,-3.01%
2021-10-04,382000,0.00%
2021-10-01,382000,-1.55%
2021-09-30,388000,0.26%
2021-09-29,387000,-1.40%
2021-09-28,392500,-2.61%
2021-09-27,403000,-0.62%
2021-09-26,405500,0.00%
2021-09-24,405500,1.38%
2021-09-23,400000,-0.74%
2021-09-22,403000,0.00%
2021-09-17,403000,0.25%
2021-09-16,402000,0.37%
2021-09-15,400500,-0.50%
2021-09-14,402500,-1.35%
2021-09-13,408000,-0.49%
2021-09-12,410000,0.00%
2021-09-10,410000,2.76%
2021-09-09,399000,-2.56%
2021-09-08,409500,-7.87%
2021-09-07,444500,-2.09%
2021-09-06,454000,0.33%
2021-09-05,452500,0.00%
2021-09-03,452500,2.26%
2021-09-02,442500,-0.56%
2021-09-01,445000,1.37%
2021-08-31,439000,2.57%
2021-08-30,428000,1.90%
2021-08-29,420000,0.00%
2021-08-27,420000,-0.83%
2021-08-26,423500,-1.63%
2021-08-25,430500,-1.60%
2021-08-24,437500,1.86%
2021-08-23,429500,1.66%
2021-08-22,422500,0.00%
2021-08-20,422500,-0.47%
2021-08-19,424500,-1.05%
2021-08-18,429000,0.12%
2021-08-17,428500,-1.83%
2021-08-16,436500,0.00%
2021-08-13,436500,-0.91%
2021-08-12,440500,-1.01%
2021-08-11,445000,-0.34%
2021-08-10,446500,-0.22%
2021-08-09,447500,0.67%
2021-08-08,444500,0.00%
2021-08-06,444500,0.45%
2021-08-05,442500,2.19%
2021-08-04,433000,1.17%
2021-08-03,428000,-1.27%
2021-08-02,433500,0.00%
2021-08-01,433500,0.00%
2021-07-30,433500,-1.37%
2021-07-29,439500,-0.57%
2021-07-28,442000,-2.21%
2021-07-27,452000,0.00%
2021-07-26,452000,0.00%
2021-07-25,452000,0.00%
2021-07-23,452000,2.73%
2021-07-22,440000,2.80%
2021-07-21,428000,-2.51%
2021-07-20,439000,-0.90%
2021-07-19,443000,-0.89%
2021-07-18,447000,0.00%
2021-07-16,447000,-0.45%
2021-07-15,449000,1.13%
2021-07-14,444000,0.68%
2021-07-13,441000,5.38%
2021-07-12,418500,0.72%
2021-07-11,415500,0.00%
2021-07-09,415500,-1.54%
2021-07-08,422000,1.08%
2021-07-07,417500,1.95%
2021-07-06,409500,-0.12%
2021-07-05,410000,-0.97%
2021-07-04,414000,0.00%
2021-07-02,414000,0.24%
2021-07-01,413000,-1.08%
2021-06-30,417500,1.46%
2021-06-29,411500,0.86%
2021-06-28,408000,-0.49%
2021-06-27,410000,0.00%
2021-06-25,410000,-2.26%
2021-06-24,419500,-0.94%
2021-06-23,423500,8.31%
2021-06-22,391000,-1.51%
2021-06-21,397000,-0.25%
2021-06-20,398000,0.00%
2021-06-18,398000,2.18%
2021-06-17,389500,-0.38%
2021-06-16,391000,1.03%
2021-06-15,387000,0.00%
2021-06-14,387000,3.89%
2021-06-13,372500,0.00%
2021-06-11,372500,-0.27%
2021-06-10,373500,4.18%
2021-06-09,358500,-1.10%
2021-06-08,362500,0.00%
2021-06-07,362500,1.54%
2021-06-06,357000,0.00%
2021-06-04,357000,-1.38%
2021-06-03,362000,-0.28%
2021-06-02,363000,-1.09%
2021-06-01,367000,1.24%
2021-05-31,362500,1.26%
2021-05-30,358000,0.00%
2021-05-28,358000,0.00%
2021-05-27,358000,-1.38%
2021-05-26,363000,1.40%
2021-05-25,358000,0.70%
2021-05-24,355500,-1.25%
2021-05-23,360000,0.00%
2021-05-21,360000,2.56%
2021-05-20,351000,0.43%
2021-05-19,349500,0.00%
2021-05-18,349500,1.60%
2021-05-17,344000,0.44%
2021-05-16,342500,0.00%
2021-05-14,342500,1.48%
2021-05-13,337500,-1.60%
2021-05-12,343000,-1.72%
2021-05-11,349000,-3.59%
2021-05-10,362000,0.28%
2021-05-09,361000,0.00%
2021-05-07,361000,-0.14%
2021-05-06,361500,-0.82%
2021-05-05,364500,0.00%
2021-05-04,364500,0.41%
2021-05-03,363000,0.97%
2021-05-02,359500,0.00%
2021-04-30,359500,-1.91%
2021-04-29,366500,-1.87%
2021-04-28,373500,-1.71%
2021-04-27,380000,0.66%
2021-04-26,377500,-0.13%
