"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 31일","69,800","69,800","69,800","69,800","-","0.00%"
"2021년 10월 29일","69,800","71,200","71,600","69,700","16.50M","-1.27%"
"2021년 10월 28일","70,700","69,600","72,100","69,500","2.15K","0.86%"
"2021년 10월 27일","70,100","71,000","71,000","70,000","3.67K","-1.41%"
"2021년 10월 26일","71,100","70,500","71,500","70,400","8.81K","1.28%"
"2021년 10월 25일","70,200","70,000","70,600","69,500","0.15K","-0.28%"
"2021년 10월 24일","70,400","70,400","70,400","70,400","-","0.00%"
"2021년 10월 22일","70,400","70,000","70,700","70,000","8.38M","0.28%"
"2021년 10월 21일","70,200","70,300","70,600","70,000","2.87K","-0.14%"
"2021년 10월 20일","70,300","70,800","71,000","70,200","1.54K","-0.42%"
"2021년 10월 19일","70,600","70,800","71,000","70,400","0.03K","0.57%"
"2021년 10월 18일","70,200","70,100","70,300","69,200","1.20K","0.14%"
"2021년 10월 17일","70,100","70,100","70,100","70,100","-","0.00%"
"2021년 10월 15일","70,100","70,200","71,000","70,000","17.53M","1.01%"
"2021년 10월 14일","69,400","69,100","69,800","68,800","0.23K","0.87%"
"2021년 10월 13일","68,800","68,700","69,600","68,400","0.57K","-0.29%"
"2021년 10월 12일","69,000","70,800","70,900","68,700","18.42K","-3.50%"
"2021년 10월 11일","71,500","71,500","71,500","71,500","-","0.00%"
"2021년 10월 08일","71,500","72,300","72,400","71,500","13.97M","-0.14%"
"2021년 10월 07일","71,600","71,800","72,100","71,300","0.17K","0.42%"
"2021년 10월 06일","71,300","72,700","72,800","71,200","8.34K","-1.25%"
"2021년 10월 05일","72,200","72,900","73,000","71,400","1.12K","-1.37%"
"2021년 10월 04일","73,200","73,200","73,200","73,200","-","0.00%"
"2021년 10월 01일","73,200","73,900","74,000","72,900","15.70M","-1.21%"
"2021년 09월 30일","74,100","74,300","74,800","73,800","6.44K","0.00%"
"2021년 09월 29일","74,100","74,800","75,300","73,800","15.27K","-2.88%"
"2021년 09월 28일","76,300","77,600","77,600","76,200","0.94K","-1.80%"
"2021년 09월 27일","77,700","77,300","77,700","77,000","11.63M","0.52%"
"2021년 09월 26일","77,300","77,300","77,300","77,300","-","0.00%"
"2021년 09월 24일","77,300","77,600","77,700","77,100","11.85M","-0.13%"
"2021년 09월 23일","77,400","77,500","77,600","76,900","0.49K","0.26%"
"2021년 09월 22일","77,200","77,200","77,200","77,200","-","0.00%"
"2021년 09월 17일","77,200","76,300","77,200","75,900","15.66M","1.45%"
"2021년 09월 16일","76,100","77,300","77,400","76,100","12.88M","-1.17%"
"2021년 09월 15일","77,000","77,200","77,300","76,500","0.04K","0.52%"
"2021년 09월 14일","76,600","77,000","77,700","76,600","3.83K","0.39%"
"2021년 09월 13일","76,300","75,100","76,300","75,100","1.17K","1.33%"
"2021년 09월 12일","75,300","75,300","75,300","75,300","-","0.00%"
"2021년 09월 10일","75,300","75,300","75,600","74,800","10.04M","0.00%"
"2021년 09월 09일","75,300","76,300","76,600","75,000","1.06K","-1.31%"
"2021년 09월 08일","76,300","76,100","76,400","75,600","1.09K","0.26%"
"2021년 09월 07일","76,100","77,100","77,100","75,900","2.76K","-1.55%"
"2021년 09월 06일","77,300","76,800","77,600","76,600","3.42K","0.91%"
"2021년 09월 05일","76,600","76,600","76,600","76,600","-","0.00%"
"2021년 09월 03일","76,600","76,400","76,700","76,000","11.89M","0.79%"
"2021년 09월 02일","76,000","76,800","76,800","75,700","1.76K","-1.04%"
"2021년 09월 01일","76,800","76,600","77,100","75,900","0.84K","0.13%"
"2021년 08월 31일","76,700","74,800","76,700","74,300","16.70K","2.82%"
"2021년 08월 30일","74,600","75,400","75,400","74,200","4.29K","0.40%"
"2021년 08월 29일","74,300","74,300","74,300","74,300","-","0.00%"
"2021년 08월 27일","74,300","74,300","75,000","73,800","15.06M","-0.40%"
"2021년 08월 26일","74,600","76,100","76,200","74,600","4.67K","-1.45%"
"2021년 08월 25일","75,700","76,200","76,500","74,900","2.00K","0.13%"
"2021년 08월 24일","75,600","73,900","75,700","73,900","0.37K","3.14%"
"2021년 08월 23일","73,300","73,300","74,000","73,000","19.30M","0.83%"
"2021년 08월 22일","72,700","72,700","72,700","72,700","-","0.00%"
"2021년 08월 20일","72,700","73,500","73,900","72,500","22.12M","-0.55%"
"2021년 08월 19일","73,100","73,500","74,400","73,100","18.14K","-1.08%"
"2021년 08월 18일","73,900","73,900","74,600","73,100","28.93M","-0.40%"
"2021년 08월 17일","74,200","74,300","75,100","74,000","7.44K","-0.27%"
"2021년 08월 16일","74,400","74,400","74,400","74,400","-","0.00%"
"2021년 08월 13일","74,400","75,800","76,000","74,100","60.80M","-3.38%"
"2021년 08월 12일","77,000","77,300","78,200","76,900","57.26K","-1.91%"
"2021년 08월 11일","78,500","79,600","79,800","78,500","29.83M","-2.12%"
"2021년 08월 10일","80,200","82,300","82,300","80,100","13.75K","-1.60%"
"2021년 08월 09일","81,500","81,500","82,300","80,900","15.37M","0.00%"
"2021년 08월 08일","81,500","81,500","81,500","81,500","-","0.00%"
"2021년 08월 06일","81,500","81,900","82,500","81,300","13.28M","-0.73%"
"2021년 08월 05일","82,100","83,200","83,300","82,000","2.46K","-0.97%"
"2021년 08월 04일","82,900","82,100","83,100","81,800","25.81K","1.84%"
"2021년 08월 03일","81,400","79,400","81,400","79,300","1.46K","2.65%"
"2021년 08월 02일","79,300","79,100","79,500","78,700","1.55K","1.02%"
"2021년 08월 01일","78,500","78,500","78,500","78,500","-","0.00%"
"2021년 07월 30일","78,500","78,900","78,900","78,500","13.12M","-0.63%"
"2021년 07월 29일","79,000","78,900","79,300","78,800","3.62K","-0.25%"
"2021년 07월 28일","79,200","78,200","79,200","78,100","9.00K","0.89%"
"2021년 07월 27일","78,500","79,100","79,300","78,500","4.44K","-0.38%"
"2021년 07월 26일","78,800","79,400","79,500","78,800","1.25K","-0.63%"
"2021년 07월 25일","79,300","79,300","79,300","79,300","-","0.00%"
"2021년 07월 23일","79,300","79,700","79,900","79,200","8.98M","-0.50%"
"2021년 07월 22일","79,700","79,000","79,800","78,900","11.63K","1.53%"
"2021년 07월 21일","78,500","79,000","79,100","78,500","0.17K","-0.63%"
"2021년 07월 20일","79,000","78,600","79,000","78,400","0.55K","0.00%"
"2021년 07월 19일","79,000","79,200","79,200","78,800","2.48K","-1.00%"
"2021년 07월 18일","79,800","79,800","79,800","79,800","-","0.00%"
"2021년 07월 16일","79,800","80,100","80,100","79,500","10.78M","-0.99%"
"2021년 07월 15일","80,600","79,800","80,600","79,500","0.70K","1.38%"
